"sdate","id","depth","Chl_a_Holm-Hansen_F","Phaeo_Holm-HansenF","int_depth","NO2NO3_Tech_F","SiO4_Tech_F","PO4_Tech_F","Salinity_Sal_PSS"
"13-Jan-1999",201201,1,0.507026086956522,0.23,3,4.7615,5.4685,0.6015,30.852
"13-Jan-1999",201202,5,0.542921739130435,0.26,4.5,4.681,5.435,0.627,30.805
"13-Jan-1999",201203,10,0.480104347826087,0.28,7.5,4.732,5.528,0.5595,30.857
"13-Jan-1999",201204,20,0.4128,0.28,10,4.68,5.4635,0.571,30.887
"13-Jan-1999",201205,30,0.372417391304348,0.27,10,4.9635,5.8545,0.631,30.896
"13-Jan-1999",201206,40,0.376904347826087,0.27,10,4.9945,5.8175,0.6025,30.891
"13-Jan-1999",201207,50,0.480104347826087,0.26,17.5,5.0075,5.6585,0.6615,30.85
"13-Jan-1999",201208,75,0.0891159420289855,0.15,25,7.532,7.983,0.778,32.098
"13-Jan-1999",201209,100,0.0754057971014493,0.12,32.5,8.713,9.3165,0.8775,32.359
"13-Jan-1999",201210,140,0.0520985507246377,0.09,20,12.577,12.928,1.025,33.275
"10-Feb-1999",201211,1,0.960208695652174,0.28,3,3.673,3.907,0.522,31.265
"10-Feb-1999",201212,5,0.946747826086957,0.27,4.5,4.496,5.099,0.5965,NA
"10-Feb-1999",201213,10,0.960208695652174,0.29,7.5,4.454,5.019,0.5515,31.265
"10-Feb-1999",201214,20,1.09930434782609,0.29,10,4.1025,4.5425,0.6175,NA
"10-Feb-1999",201215,30,1.4638384057971,0.4,10,3.428,3.2855,0.5415,NA
"10-Feb-1999",201216,40,0.913220289855073,0.26,10,4.632,5.1825,0.6705,NA
"10-Feb-1999",201217,50,1.54441666666667,0.66,17.5,3.2685,3.1415,0.586,31.569
"10-Feb-1999",201218,75,0.123391304347826,0.14,25,8.3225,8.5045,0.8605,NA
"10-Feb-1999",201219,100,0.0781478260869565,0.08,32.5,11.0085,10.7615,1.017,NA
"10-Feb-1999",201220,140,0.0178231884057971,0.04,20,14.889,13.597,1.2095,33.927
"16-Feb-1999",212383,1,1.06228695652174,0.29,3,4.611,5.486,0.689,31.25
"16-Feb-1999",212384,5,0.9288,0.34,4.5,4.576,5.382,0.703,NA
"16-Feb-1999",212385,10,1.09033043478261,0.2,7.5,4.708,5.5,0.693,31.236
"16-Feb-1999",212386,20,1.10827826086957,0.34,10,3.479,4.073,0.541,NA
"16-Feb-1999",212387,30,1.18181449275362,0.3,10,4.385,4.88,0.638,NA
"16-Feb-1999",212388,40,1.23553333333333,0.31,10,4.573,4.934,0.635,NA
"16-Feb-1999",212389,50,2.25619130434783,0.4,17.5,3.587,3.319,0.613,31.491
"16-Feb-1999",212390,75,0.529460869565217,0.33,25,3.85,3.625,0.52,NA
"16-Feb-1999",212391,100,0.119278260869565,0.16,32.5,9.817,9.947,0.973,NA
"16-Feb-1999",212392,140,0.0589536231884058,0.08,20,14.596,14,1.128,33.807
"31-Mar-1999",201221,1,0.601252173913044,0.27,3,0.0601,0.296,0.495,31.107
"31-Mar-1999",201222,5,0.641634782608696,0.25,4.5,0.01,0.196,0.467,NA
"31-Mar-1999",201223,10,0.614713043478261,0.25,7.5,-0.00309999999999999,0.159,0.46,31.256
"31-Mar-1999",201224,20,0.852521739130435,0.33,10,0.1758,0.317,0.458,NA
"31-Mar-1999",201225,30,2.3904884057971,0.59,10,0.0987,0.246,0.502,NA
"31-Mar-1999",201226,40,2.52478550724638,0.7,10,0.0608,0.186,0.479,NA
"31-Mar-1999",201227,50,3.05692608695652,0.88,17.5,0.2967,0.245,0.548,31.755
"31-Mar-1999",201228,75,1.18181449275362,0.87,25,3.05,2.048,0.659,NA
"31-Mar-1999",201229,100,0.81921231884058,0.61,32.5,10.721,8.613,1.004,NA
"31-Mar-1999",201230,140,0.287165217391304,0.45,20,14.839,14.414,1.225,33.872
"08-Apr-1999",210030,1,0.473185,1.92,3,0.178,0.333,0.2685,NA
"08-Apr-1999",210028,5,0.4005155,1.25,9.5,0.1755,0.3435,0.2635,NA
"08-Apr-1999",210026,20,0.504697,1.22,12.5,0.1675,0.3695,0.2665,NA
"08-Apr-1999",210025,30,0.37801775,1.01,10,0.2355,0.4,0.287,NA
"08-Apr-1999",210023,40,0.3722355,0.9,10,0.292,0.4805,0.277,NA
"08-Apr-1999",210022,50,0.371983,0.81,17.5,0.336,0.5025,0.274,NA
"08-Apr-1999",210021,75,0.63662825,0.34,25,4.741,5.226,0.503,NA
"08-Apr-1999",210020,100,0.5112115,0.31,32.5,6.2595,6.8335,0.5545,NA
"08-Apr-1999",210018,140,NA,NA,20,7.882,8.846,0.5565,NA
"18-Apr-1999",210554,1,1.6173475,1.33,NA,NA,NA,NA,NA
"18-Apr-1999",210553,5,1.5494575,1.27,7.5,0.224592925322852,0.427631578947368,0.3975,NA
"18-Apr-1999",210552,10,1.63432,1.35,7.5,0.182481751824818,0.328947368421053,0.405,NA
"18-Apr-1999",210551,20,2.495655,1.52,10,0.336889387984279,0.526315789473684,0.435,NA
"18-Apr-1999",210550,30,2.4859675,0.86,10,1.37563166760247,1.31578947368421,0.555,NA
"18-Apr-1999",210549,40,1.053228,0.56,10,0.561482313307131,0.526315789473684,0.435,NA
"18-Apr-1999",210548,50,1.039896,0.38,30,1.06681639528355,0.953947368421053,0.5475,NA
"18-Apr-1999",210547,75,0.413191,0.29,25,NA,NA,NA,NA
"18-Apr-1999",210546,100,0.4453595,0.23,25,8.45030881527232,8.61842105263158,0.945,NA
"18-Apr-1999",210545,125,NA,NA,20,10.8927568781583,11.9078947368421,1.08,NA
"18-Apr-1999",210544,140,NA,NA,7.5,13.9528354856822,15.1973684210526,1.185,NA
"05-May-1999",201231,1,1.1683847826087,0.29,3,0.19655,1.6745,0.5605,31.547
"05-May-1999",201232,5,1.22881847826087,0.23,4.5,0.21625,1.593,0.567,NA
"05-May-1999",201233,10,1.26910760869565,0.28,7.5,0.19045,1.5605,0.551,31.632
"05-May-1999",201234,20,0.51824347826087,0.32,10,1.9305,2.781,0.763,NA
"05-May-1999",201235,30,0.106939130434783,0.28,10,2.443,3.045,0.8255,NA
"05-May-1999",201236,40,0.152182608695652,0.39,10,2.7535,3.507,0.767,NA
"05-May-1999",201237,50,0.154239130434783,0.37,17.5,3.3715,4.167,0.841,31.703
"05-May-1999",201238,75,0.125447826086957,0.25,25,3.553,4.0515,0.846,NA
"05-May-1999",201239,100,0.0658086956521739,0.26,32.5,5.1155,5.5865,0.893,NA
"05-May-1999",201240,140,0.0473,0.22,20,8.3365,8.949,1.0305,32.471
"19-May-1999",201241,1,1.53098695652174,0.24,3,0.41155,1.2205,0.541,30.725
"19-May-1999",201242,5,0.564047826086957,0.11,4.5,0.15575,0.908,0.4605,NA
"19-May-1999",201243,10,0.370173913043478,0.09,7.5,0.13895,1.073,0.4995,NA
"19-May-1999",201244,20,1.55113152173913,0.35,10,0.04865,1.7495,0.5605,NA
"19-May-1999",201245,30,0.574120108695652,0.28,10,0.12335,1.239,0.543,NA
"19-May-1999",201246,40,0.212008695652174,0.13,10,1.4215,2.262,0.6735,NA
"19-May-1999",201247,50,0.114417391304348,0.18,17.5,2.9395,3.7745,0.839,31.892
"19-May-1999",201248,75,0.353347826086957,0.23,25,4.0685,4.477,0.8285,NA
"19-May-1999",201249,100,0.185086956521739,0.27,32.5,8.7875,8.5915,1.03,NA
"19-May-1999",201250,140,0.0246782608695652,0.18,20,16.1805,17.4685,1.3845,33.739
"10-Jun-1999",201251,1,0.6192,0.15,3,0.04705,0.801,0.3725,30.55
"10-Jun-1999",201252,5,1.02975652173913,0.15,4.5,0.04875,1.223,1.111,NA
"10-Jun-1999",201253,10,0.146013043478261,0.07,7.5,0.61395,2.1895,0.602,NA
"10-Jun-1999",201254,20,1.95402282608696,0.85,10,1.1625,2.612,0.656,31.006
