"sdate","id","depth","Chl_a_Holm-Hansen_F","int_depth","NO2NO3_Tech_F","SiO4_Tech_F","PO4_Tech_F","Salinity_Sal_PSS"
"30-Apr-1999",205401,1,0.718489492753623,3,5.19733333333333,6.61166666666667,0.862,30.5487
"30-Apr-1999",205402,5,2.0993347826087,4.5,5.04,6.337,0.866,NA
"30-Apr-1999",205403,10,1.58370869565217,7.5,6.909,8.43366666666667,0.958666666666667,NA
"30-Apr-1999",205404,20,0.920760869565217,10,6.59766666666667,8.43733333333333,0.946666666666667,30.9544
"30-Apr-1999",205405,30,0.883930434782609,10,8.83033333333333,10.259,1.019,NA
"30-Apr-1999",205406,40,1.14174347826087,10,8.44433333333333,10.2873333333333,1.01433333333333,NA
"30-Apr-1999",205407,50,1.04966739130435,10,7.61533333333333,10.521,1.067,NA
"30-Apr-1999",205408,60,0.957591304347826,10,7.88433333333333,10.4283333333333,1.088,NA
"30-Apr-1999",205409,70,0.920760869565217,10,8.515,10.7316666666667,1.08066666666667,NA
"30-Apr-1999",205410,80,1.16015869565217,5,8.88266666666667,11.26,1.11366666666667,31.0048
"21-May-1999",205411,1,1.10795108695652,3,0.227,2.50033333333333,0.365666666666667,27.786
"21-May-1999",205412,5,0.966939130434783,4.5,0.192233333333333,2.52633333333333,0.355,NA
"21-May-1999",205413,10,0.578817391304348,7.5,0.252166666666667,1.951,0.283666666666667,NA
"21-May-1999",205414,20,0.538434782608696,10,2.202,2.31,0.625666666666667,30.2453
"21-May-1999",205415,30,0.437478260869565,10,4.45533333333333,4.42033333333333,0.821333333333333,NA
"21-May-1999",205416,40,0.161530434782609,10,8.28633333333333,10.45,1.072,NA
"21-May-1999",205417,50,0.114417391304348,10,8.93533333333333,11.716,1.11466666666667,31.1714
"21-May-1999",205418,60,0.188452173913044,10,10.6693333333333,16.1853333333333,1.25533333333333,NA
"21-May-1999",205419,70,0.195182608695652,10,10.7886666666667,16.5183333333333,1.292,NA
"21-May-1999",205420,80,0.235565217391304,5,11.274,19.5806666666667,1.37333333333333,31.6428
"09-Jun-1999",205421,1,0.302869565217391,3,0.0601,0.207666666666667,0.182333333333333,NA
"09-Jun-1999",205422,5,0.370173913043478,4.5,0.0461333333333333,1.12066666666667,0.155,NA
"09-Jun-1999",205423,10,0.323060869565217,7.5,-0.00416666666666665,0.084,0.167,NA
"09-Jun-1999",205424,20,1.03648695652174,10,0.294533333333333,0.473333333333333,0.363666666666667,29.6935
"09-Jun-1999",205425,30,1.389975,10,6.26033333333333,6.16533333333333,0.973333333333333,NA
"09-Jun-1999",205426,40,0.255756521739131,10,6.59366666666667,7.02166666666667,1.00133333333333,NA
"09-Jun-1999",205427,50,0.168260869565217,10,7.75466666666667,9.20766666666667,1.11266666666667,31.2218
"09-Jun-1999",205428,60,0.477860869565217,10,0.075,0.433,0.258,NA
"09-Jun-1999",205429,70,0.0942260869565218,10,10.5926666666667,16.315,1.24933333333333,NA
"09-Jun-1999",205430,80,0.107686956521739,5,11.164,20.015,1.42933333333333,31.869
"01-Jul-1999",205431,1,0.767269565217391,3,-0.0116,0.913333333333333,0.204333333333333,27.574
"01-Jul-1999",205432,5,0.780730434782609,4.5,-0.0416,0.834666666666667,0.165666666666667,NA
"01-Jul-1999",205433,10,1.30939673913044,7.5,-0.0374666666666667,0.590333333333333,0.202333333333333,NA
"01-Jul-1999",205434,20,0.625930434782609,10,0.0655333333333333,0.762,0.382,29.667
"01-Jul-1999",205435,30,0.150126086956522,10,2.44166666666667,1.09966666666667,0.799333333333333,NA
"01-Jul-1999",205436,40,0.0699217391304348,10,7.71466666666667,9.45633333333334,1.26,NA
"01-Jul-1999",205437,50,0.0719782608695652,10,7.56833333333333,9.58466666666667,1.24166666666667,31.489
"01-Jul-1999",205438,60,0.0555260869565218,10,9.94933333333333,13.3933333333333,1.362,NA
"01-Jul-1999",205439,70,0.0699217391304348,10,10.43,16.3783333333333,1.35233333333333,NA
"01-Jul-1999",205440,80,0.0843173913043478,5,11.062,19.3033333333333,1.462,32.27
"02-Aug-1999",205441,1,0.599008695652174,3,0.0267333333333333,1.54333333333333,0.275333333333333,28.301
"02-Aug-1999",205442,5,1.06766195652174,4.5,-0.00180000000000002,0.933666666666667,0.267333333333333,NA
"02-Aug-1999",205443,10,1.18852934782609,7.5,-0.0109333333333334,0.629666666666667,0.323666666666667,NA
"02-Aug-1999",205444,20,0.861495652173913,10,0.397333333333333,1.78433333333333,0.438333333333333,29.238
"02-Aug-1999",205445,30,0.349982608695652,10,4.73966666666667,6.216,0.975666666666667,NA
"02-Aug-1999",205446,40,0.0946,10,7.70533333333333,9.61866666666667,1.18366666666667,NA
"02-Aug-1999",205447,50,0.0616956521739131,10,9.29133333333333,12.769,1.287,31.889
"02-Aug-1999",205448,60,0.111052173913043,10,10.045,13.6695,1.267,NA
"02-Aug-1999",205449,70,0.0534695652173913,10,11.452,17.5273333333333,1.44766666666667,NA
"02-Aug-1999",205450,80,0.0946,5,11.8626666666667,20.5623333333333,1.464,32.256
"23-Aug-1999",205451,1,0.51824347826087,3,0.0794,0.915,0.263,29.456
"23-Aug-1999",205452,5,0.51824347826087,4.5,0.032,0.811,0.263,NA
"23-Aug-1999",205453,10,1.02975652173913,7.5,0.0165999999999999,0.513,0.263,NA
"23-Aug-1999",205454,20,0.814382608695652,10,1.001,1.277,0.491,29.922
"23-Aug-1999",205455,30,0.117221739130435,10,5.811,7.202,1.075,NA
"23-Aug-1999",205456,40,0.0863739130434783,10,8.214,10.729,1.215,NA
"23-Aug-1999",205457,50,0.0781478260869565,10,8.266,10.124,1.199,31.833
"23-Aug-1999",205458,60,0.0376717391304348,10,10.496,13.239,1.31,NA
"23-Aug-1999",205459,70,0.0340260869565217,10,10.994,14.602,1.302,NA
"23-Aug-1999",205460,80,0.0596391304347826,5,12.731,20.472,1.451,32.233
"20-Sep-1999",219408,1,2.45763695652174,3,1.3345,1.7555,0.363,NA
"20-Sep-1999",219407,5,2.37705869565217,4.5,1.3155,1.776,0.3425,NA
"20-Sep-1999",219046,10,2.39720326086957,7.5,NA,NA,NA,NA
"20-Sep-1999",219405,20,0.955721739130435,10,1.4675,1.8855,0.417,NA
"20-Sep-1999",219404,30,0.080204347826087,10,6.9225,10.7255,1.0195,NA
"20-Sep-1999",219403,40,0.0534695652173913,10,8.8365,12.539,1.142,NA
"20-Sep-1999",219402,50,0.0565076086956522,10,10.2125,14.177,1.1935,NA
"20-Sep-1999",219401,60,0.0699217391304348,10,12.4205,19.7915,1.33,NA
"20-Sep-1999",219400,70,0.0589536231884058,10,12.782,19.635,1.3255,NA
"20-Sep-1999",219399,80,0.0740347826086957,5,12.2215,18.596,1.407,NA
"13-Oct-1999",205461,1,2.618325,3,0.7799,2.3335,0.526,NA
"13-Oct-1999",205462,5,2.657115,4.5,0.5357,2.35,0.4855,NA
"13-Oct-1999",205463,10,1.920105,7.5,1.1165,2.9685,0.4955,NA
"13-Oct-1999",205464,20,1.90071,10,1.169,2.922,0.5005,NA
"13-Oct-1999",205465,30,2.734695,10,1.132,2.94,0.4805,NA
"13-Oct-1999",205466,40,1.43523,10,1.038,2.782,0.4695,NA
"13-Oct-1999",205467,50,0.27864,10,4.1725,5.2575,0.8315,NA
"13-Oct-1999",205468,60,0.10692,10,7.1365,8.2385,1.07,NA
"13-Oct-1999",205469,70,0.10098,10,8.262,8.9855,1.162,NA
"13-Oct-1999",205470,80,0.15048,5,14.118,23.3345,1.5675,NA
"30-Oct-1999",205471,1,1.20249,3,2.1751615,3.0305,0.6465,NA
"30-Oct-1999",205472,5,0.99561,4.5,2.1873075,3.047,0.659,NA
"30-Oct-1999",205473,10,1.1637,7.5,2.2164535,3.0335,0.6435,NA
"30-Oct-1999",205474,20,0.89217,10,1.9795995,2.855,0.603,NA
"30-Oct-1999",205475,30,0.3888,10,2.3182455,3.5595,0.655,NA
"30-Oct-1999",205476,40,0.29808,10,2.5113915,4.369,0.691,NA
"30-Oct-1999",205477,50,0.49134,10,2.4030375,3.9065,0.645,NA
"30-Oct-1999",205478,60,0.13596,10,7.2261835,9.338,1.0115,NA
"30-Oct-1999",205479,70,0.13392,10,9.4568295,12.5735,1.209,NA
"30-Oct-1999",205480,80,0.12672,5,11.3229755,17.9895,1.444,NA
"16-Nov-1999",205481,1,0.57024,3,3.4851215,5.1565,0.7295,NA
"16-Nov-1999",205482,5,0.63504,4.5,3.5587675,4.9185,0.7215,NA
"16-Nov-1999",205483,10,0.68688,7.5,3.4679135,4.9055,0.691,NA
"16-Nov-1999",205484,20,0.59616,10,3.5940595,4.9515,0.6975,NA
"16-Nov-1999",205485,30,0.53568,10,4.0337055,5.2815,0.716,NA
"16-Nov-1999",205486,40,0.31536,10,5.2853515,6.6295,0.777,NA
"16-Nov-1999",205487,50,0.11748,10,6.3284975,7.3675,0.8695,NA
"16-Nov-1999",205488,60,0.14388,10,10.7251435,16.912,1.2945,NA
"16-Nov-1999",205489,70,0.18576,10,11.2032895,17.93,1.365,NA
"16-Nov-1999",205490,80,0.14688,5,10.6264355,17.1685,1.356,NA
"10-Dec-1999",205491,1,0.58968,3,5.5020815,7.269,0.7625,NA
"10-Dec-1999",205492,5,0.59616,4.5,5.4897275,7.36,0.805,NA
"10-Dec-1999",205493,10,0.46008,7.5,5.7853735,7.466,0.7835,NA
"10-Dec-1999",205494,20,0.40176,10,6.3375195,8.0205,0.8015,NA
"10-Dec-1999",205495,30,0.30456,10,6.7386655,8.3835,0.843,NA
"10-Dec-1999",205496,40,0.29808,10,6.5068115,8.101,0.817,NA
