"sdate","id","depth","Chl_a_Holm-Hansen_F","int_z_range","NO2NO3_Tech_F","SiO4_Tech_F","PO4_Tech_F"
"28-Jan-1999",213204,1,NA,5.5,9.257,8.945,0.971
"28-Jan-1999",213205,10,NA,24.5,5.826,5.721,0.708
"28-Jan-1999",213206,50,NA,42.5,9.423,9.464,0.974
"28-Jan-1999",213207,95,NA,22.25,8.477,9.178,0.909
"11-Feb-1999",213217,1,NA,5.5,9.669,9.785,0.957
"11-Feb-1999",213216,10,NA,24.5,9.529,9.68,0.921
"11-Feb-1999",213214,50,NA,42.5,9.634,9.441,0.955
"11-Feb-1999",213215,95,NA,22.25,8.484,7.115,0.86
"13-May-1999",213224,1,NA,5.5,3.417,2.341,0.5445
"13-May-1999",213225,10,NA,17,3.44,2.417,0.5155
"13-May-1999",213226,25,NA,20,3.9165,2.711,0.556
"13-May-1999",213227,50,NA,34.75,4.0965,2.5855,0.5275
"13-May-1999",213228,95,NA,22.25,4.3135,3.5015,0.5615
"27-May-1999",213235,1,NA,5.5,2.222,1.683,0.4385
"27-May-1999",213236,10,NA,17,3.1699,2.08,0.5335
"27-May-1999",213237,25,NA,20,2.6628,1.6685,0.4575
"27-May-1999",213238,50,NA,34.75,3.3137,2.098,0.5135
"27-May-1999",213239,95,NA,22.25,6.8731,4.835,0.748
"14-Jun-1999",213243,1,NA,5.5,3.9882,2.5285,0.6225
"14-Jun-1999",213244,10,NA,17,4.0251,2.525,0.6075
"14-Jun-1999",213245,25,NA,20,3.383,2.098,0.549
"14-Jun-1999",213246,50,NA,34.75,3.6699,2.302,0.5885
"14-Jun-1999",213247,95,NA,22.25,4.4848,2.778,0.632
"25-Jun-1999",213258,1,NA,5.5,2.704,2.377,0.5465
"25-Jun-1999",213255,10,NA,17,3.4255,2.732,0.6005
"25-Jun-1999",213256,25,NA,20,3.8355,2.8855,0.6245
"25-Jun-1999",213257,50,NA,34.75,3.948,2.854,0.6205
"25-Jun-1999",213254,95,NA,22.25,5.8075,4.194,0.7475
"14-Jul-1999",213262,1,NA,5.5,2.4791,3.2395,0.5905
"14-Jul-1999",213263,10,NA,17,2.4105,3.188,0.5715
"14-Jul-1999",213264,25,NA,20,2.6204,3.28,0.59
"14-Jul-1999",213265,50,NA,34.75,2.5518,3.148,0.579
"14-Jul-1999",213266,95,NA,22.25,5.9932,5.3295,0.7325
"28-Jul-1999",213273,1,0.93462,5.5,1.0616,3.028,0.5205
"28-Jul-1999",213274,10,1.1367,17,1.191,3.1465,0.532
"28-Jul-1999",213275,25,0.99777,20,1.1569,3.171,0.5425
"28-Jul-1999",213276,50,0.82095,34.75,2.2563,3.9405,0.606
"28-Jul-1999",213277,95,0.399,22.25,7.0562,7.0135,0.821
"04-Aug-1999",213284,1,0.8946,5.5,3.1594,4.564,0.628
"04-Aug-1999",213285,10,0.88938,17,3.4676,4.809,0.658
"04-Aug-1999",213286,25,0.7308,20,4.1988,5.053,0.677
"04-Aug-1999",213287,50,0.567,34.75,4.892,5.614,0.706
"04-Aug-1999",213288,95,0.189,22.25,8.1492,7.985,0.855
"12-Aug-1999",213289,1,4.31568,5.5,2.5454,4.281,0.595
"12-Aug-1999",213290,10,3.27672,17,3.3166,4.714,0.631
"12-Aug-1999",213291,25,3.5964,20,3.5088,4.768,0.676
"12-Aug-1999",213292,50,2.86701,34.75,2.948,4.22,0.609
"12-Aug-1999",213293,95,0.7476,22.25,7.4842,7.783,0.854
"30-Aug-1999",213111,1,4.51548,5.5,1.1862,2.617,0.568
"30-Aug-1999",213112,10,4.51548,17,0.8184,2.134,0.456
"30-Aug-1999",213113,25,4.47552,20,1.3586,2.724,0.582
"30-Aug-1999",213114,50,3.5964,34.75,2.6918,3.723,0.634
"30-Aug-1999",213115,95,1.40193,22.25,5.068,5.825,0.703
"27-Sep-1999",213136,1,3.87612,5.5,0.3793,1.131,0.528
"27-Sep-1999",213137,10,3.35664,17,2.7397,3.094,0.6215
"27-Sep-1999",213138,25,3.1968,20,2.9216,3.3755,0.6385
"27-Sep-1999",213139,50,2.45022,34.75,6.2565,5.7965,0.7985
"27-Sep-1999",213140,95,0.89673,22.25,6.2359,5.681,0.8055
"27-Sep-1999",213004,1,2.45022,5.5,6.668,5.275,0.8715
"27-Sep-1999",213005,10,2.3997,17,6.992,5.166,0.831
"27-Sep-1999",213006,25,1.81872,20,7.391,5.4275,0.8445
"27-Sep-1999",213007,50,1.62927,34.75,7.1565,5.319,0.8515
"27-Sep-1999",213008,95,0.7602,22.25,10.4975,8.0265,0.9195
"12-Oct-1999",213176,1,0.87147,5.5,8.124,7.144,0.927
"12-Oct-1999",213177,10,1.08618,17,8.737,6.8795,0.934
"12-Oct-1999",213178,25,0.71991,20,8.5565,6.8475,0.886
"12-Oct-1999",213179,50,0.79569,34.75,9.5985,7.527,0.9495
"12-Oct-1999",213180,95,0.3906,22.25,9.054,7.696,0.8685
"17-Nov-1999",213181,1,2.31768,5.5,6.4405,5.3585,0.8145
"17-Nov-1999",213182,10,2.35764,17,8.2965,7.0435,0.884
"17-Nov-1999",213183,25,1.81872,20,8.631,7.5215,0.9005
"17-Nov-1999",213184,50,1.18722,34.75,10.6205,8.43,0.9945
"17-Nov-1999",213185,95,0.74517,22.25,9.496,7.5015,0.8705
"03-Dec-1999",213189,1,0.5166,5.5,9.1715,7.681,0.8675
"03-Dec-1999",213190,10,0.3696,17,9.345,8.128,0.847
"03-Dec-1999",213191,25,0.4032,20,8.425,7.416,0.8085
"03-Dec-1999",213192,50,0.4326,34.75,9.257,8.1065,0.878
"03-Dec-1999",213193,95,0.2688,22.25,10.514,8.244,0.942
"14-Dec-1999",213127,1,0.7434,5.5,10.4855235,11.3515,0.983
"14-Dec-1999",213128,10,0.4158,17,10.0636695,9.442,0.966
"14-Dec-1999",213129,25,0.3822,20,10.2338155,9.2935,0.9575
"14-Dec-1999",213130,50,0.4032,34.75,9.7469615,8.891,0.938
"14-Dec-1999",213131,95,0.2898,22.25,9.6111075,7.891,0.9225
"29-Dec-1999",213009,1,0.3612,5.5,9.8581875,8.6475,0.9225
"29-Dec-1999",213010,10,0.2982,17,9.9213335,8.7265,0.8935
"29-Dec-1999",213011,25,0.294,20,9.9294795,8.5635,0.9225
"29-Dec-1999",213012,50,0.2772,34.75,10.1876255,8.5195,0.917
"29-Dec-1999",213013,95,0.2898,22.25,9.9902715,8.252,0.9145
