"sdate","id","depth","density","Chl_a_Holm-Hansen_F","Phaeo_Holm-HansenF","Chl_int","Phaeo_int","Chl_int_50m","Phaeo_int_50m","doy","NO2NO3_Tech_F","SiO4_Tech_F","PO4_Tech_F"
"10-Jan-2000",213321,1,23.7375,0.4473,0.182105,23.7465,21.152775,16.83675,10.51995,10,4.133,5.347,0.7365
"10-Jan-2000",213322,5,24.5831,0.4158,0.197155,NA,NA,NA,NA,10,4.159,5.2715,0.735
"10-Jan-2000",213323,10,24.5836,0.3591,0.176085,NA,NA,NA,NA,10,4.1125,5.345,0.705
"10-Jan-2000",213324,20,24.585,0.4221,0.191135,NA,NA,NA,NA,10,4.1535,5.208,0.7175
"10-Jan-2000",213325,30,24.5849,0.3402,0.14147,NA,NA,NA,NA,10,4.1155,5.222,0.7045
"10-Jan-2000",213326,40,24.6055,0.2016,0.34916,NA,NA,NA,NA,10,3.549,4.254,0.652
"10-Jan-2000",213327,50,24.9411,0.2583,0.18963,NA,NA,NA,NA,10,2.727,3.123,0.5745
"10-Jan-2000",213328,75,24.6223,0.06192,0.109392,NA,NA,NA,NA,10,7.2585,9.2475,0.95
"10-Jan-2000",213329,100,25.9521,0.04392,0.125732,NA,NA,NA,NA,10,9.9405,12.7845,1.0925
"10-Jan-2000",213330,140,26.3166,0.03528,0.072068,NA,NA,NA,NA,10,12.7885,16.0535,1.199
"31-Jan-2000",213331,1,24.6716,0.4599,0.22274,34.698375,24.37911875,17.5581,10.5342475,31,5.084,6.5535,0.7735
"31-Jan-2000",213332,5,24.6782,0.4347,0.21672,NA,NA,NA,NA,31,4.9985,6.238,0.7725
"31-Jan-2000",213333,10,24.6782,0.3843,0.302505,NA,NA,NA,NA,31,4.9785,6.341,0.777
"31-Jan-2000",213334,20,24.6808,0.4158,0.23478,NA,NA,NA,NA,31,4.8675,6.355,0.7765
"31-Jan-2000",213335,30,24.7546,0.3024,0.17759,NA,NA,NA,NA,31,5.3605,6.725,0.8855
"31-Jan-2000",213336,40,24.9078,0.2898,0.15953,NA,NA,NA,NA,31,5.213,6.204,0.797
"31-Jan-2000",213337,50,24.937,0.252,0.1806,NA,NA,NA,NA,31,5.1755,6.1885,0.7925
"31-Jan-2000",213338,75,25.312,0.208845,0.11277825,NA,NA,NA,NA,31,5.412,6.6775,0.786
"31-Jan-2000",213339,100,25.67,0.2331,0.22876,NA,NA,NA,NA,31,7.168,9.38,0.9185
"31-Jan-2000",213340,140,26.4159,0.05967,0.06666075,NA,NA,NA,NA,31,13.0725,14.9455,1.219
"15-Feb-2000",219601,1,24.9321,0.441,0.2107,35.2971,20.42827875,24.39045,9.57782,46,6.555,6.763,0.7835
"15-Feb-2000",219602,5,24.9324,0.5796,0.22876,NA,NA,NA,NA,46,6.4295,5.557,0.815
"15-Feb-2000",219603,10,24.932,0.6363,0.14448,NA,NA,NA,NA,46,5.7005,5.1805,0.7595
"15-Feb-2000",219604,20,24.9387,0.504,0.203175,NA,NA,NA,NA,46,6.5675,6.046,0.7925
"15-Feb-2000",219605,30,24.9675,0.5292,0.224245,NA,NA,NA,NA,46,6.5925,6.0515,0.8225
"15-Feb-2000",219606,40,25.0559,0.4032,0.17157,NA,NA,NA,NA,46,6.5015,5.9725,0.9
"15-Feb-2000",219607,50,25.4047,0.2646,0.16856,NA,NA,NA,NA,46,6.8045,6.105,0.8655
"15-Feb-2000",219608,75,25.7495,0.10881,0.122421,NA,NA,NA,NA,46,8.5655,8.826,0.9795
"15-Feb-2000",219609,100,25.9256,0.11232,0.1232595,NA,NA,NA,NA,46,8.8595,8.973,0.9715
"15-Feb-2000",219610,140,26.0956,0.061425,0.08385,NA,NA,NA,NA,46,10.255,11.0725,0.848
"01-Mar-2000",219710,1,24.8467,0.4536,0.22365,42.7104,24.7856625,23.03685,10.9994625,61,7.2115,7.3845,0.844
"01-Mar-2000",219711,5,24.8475,0.5229,0.209475,NA,NA,NA,NA,61,6.43,7.7575,0.7985
"01-Mar-2000",219712,10,24.8502,0.4851,0.2079,NA,NA,NA,NA,61,6.4055,7.381,0.768
"01-Mar-2000",219713,20,24.8664,0.4851,0.215775,NA,NA,NA,NA,61,6.342,7.084,0.7535
"01-Mar-2000",219714,30,25.0916,0.63,0.26775,NA,NA,NA,NA,61,5.4155,5.7015,0.6965
"01-Mar-2000",219715,40,25.3627,0.166725,0.1447875,NA,NA,NA,NA,61,7.508,8.063,0.828
"01-Mar-2000",219716,50,25.5301,0.5733,0.3087,NA,NA,NA,NA,61,4.6775,4.497,0.603
