"sdate","id","depth","Chl_a_Holm-Hansen_F","Phaeo_Holm-HansenF","Chl_int","Phaeo_int","Chl_int_50m","Phaeo_int_50m","doy","NO2NO3_Tech_F","SiO4_Tech_F","PO4_Tech_F"
"18-Apr-2000",210901,1,2.057,1.977,366.504,47.572,357.214,38.822,109,7.409,10.3665,0.81
"18-Apr-2000",210902,5,6.879,0.523,NA,NA,NA,NA,NA,4.861,7.8085,0.659
"18-Apr-2000",210903,10,14.653,0.807,NA,NA,NA,NA,NA,1.146,4.414,0.5345
"18-Apr-2000",210904,20,14.115,1.109,NA,NA,NA,NA,NA,2.0985,5.846,0.5425
"18-Apr-2000",210905,30,5.071,0.736,NA,NA,NA,NA,NA,5.3595,8.316,0.747
"18-Apr-2000",210906,40,1.552,0.436,NA,NA,NA,NA,NA,9.307,11.775,1.006
"18-Apr-2000",210907,50,0.562,0.335,NA,NA,NA,NA,NA,9.1325,10.072,0.956
"18-Apr-2000",210908,60,0.255,0.215,NA,NA,NA,NA,NA,10.2915,12.4115,1.0615
"18-Apr-2000",210909,70,0.246,0.256,NA,NA,NA,NA,NA,11.684,15.724,1.218
"18-Apr-2000",210910,80,0.294,0.473,NA,NA,NA,NA,NA,11.416,16.41,1.224
"01-May-2000",210911,1,7.73,0.691,177.531,39.3935,175.301,33.4785,122,0.543,1.2165,0.3925
"01-May-2000",210912,5,7.588,0.789,NA,NA,NA,NA,NA,0.573,1.2955,0.365
"01-May-2000",210913,10,13.712,1.412,NA,NA,NA,NA,NA,0.8145,1.64,0.429
"01-May-2000",210914,20,1.215,1.209,NA,NA,NA,NA,NA,8.343,9.776,0.8805
"01-May-2000",210915,30,0.144,0.161,NA,NA,NA,NA,NA,7.9975,9.287,0.842
"01-May-2000",210916,40,0.121,0.256,NA,NA,NA,NA,NA,8.2645,9.519,0.863
"01-May-2000",210917,50,0.065,0.201,NA,NA,NA,NA,NA,8.6065,9.673,0.913
"01-May-2000",210918,60,0.067,0.141,NA,NA,NA,NA,NA,7.996,8.981,0.8995
"01-May-2000",210919,70,0.058,0.158,NA,NA,NA,NA,NA,9.8615,11.5675,1.035
"01-May-2000",210920,80,0.131,0.384,NA,NA,NA,NA,NA,10.8845,14.893,1.1895
"15-May-2000",210921,1,0.51,0.16,11.0045,11.1715,9.7895,6.4365,136,7.491,9.4505,0.6845
"15-May-2000",210922,5,0.341,0.112,NA,NA,NA,NA,NA,7.2065,9.198,0.7145
"15-May-2000",210923,10,0.38,0.171,NA,NA,NA,NA,NA,7.1025,9.9445,0.7495
"15-May-2000",210924,20,0.172,0.106,NA,NA,NA,NA,NA,5.3175,6.8975,0.69
"15-May-2000",210925,30,0.116,0.131,NA,NA,NA,NA,NA,5.063,6.2095,0.693
"15-May-2000",210926,40,0.079,0.119,NA,NA,NA,NA,NA,7.451,9.872,0.846
"15-May-2000",210927,50,0.041,0.122,NA,NA,NA,NA,NA,8.8145,9.987,0.976
"15-May-2000",210928,60,0.036,0.116,NA,NA,NA,NA,NA,9.1705,10.871,0.938
"15-May-2000",210929,70,0.034,0.147,NA,NA,NA,NA,NA,9.944,13.498,1.1095
"15-May-2000",210930,80,0.062,0.299,NA,NA,NA,NA,NA,11.6805,17.383,1.329
"02-Jun-2000",210931,1,0.200070512820513,0.0952878205128205,26.3353096153846,30.398867051282,20.5197006410256,16.0022676923077,154,1.295,1.077,0.237
"02-Jun-2000",210932,5,0.607553846153846,0.228726153846154,NA,NA,NA,NA,NA,1.1655,1.046,0.256
"02-Jun-2000",210933,10,1.38486538461539,0.310924615384615,NA,NA,NA,NA,NA,0.6495,1.7455,0.2825
"02-Jun-2000",210934,20,0.261108974358974,0.131232692307692,NA,NA,NA,NA,NA,3.682,3.7495,0.7045
"02-Jun-2000",210935,30,0.189897435897436,0.546294230769231,NA,NA,NA,NA,NA,7.657,9.302,1.005
"02-Jun-2000",210936,40,0.152596153846154,0.341137179487179,NA,NA,NA,NA,NA,9.068,11.3,0.996
"02-Jun-2000",210937,50,0.152596153846154,0.433712179487179,NA,NA,NA,NA,NA,9.2975,10.769,1.005
"02-Jun-2000",210938,60,0.230589743589744,0.31604358974359,NA,NA,NA,NA,NA,9.6455,10.9515,0.998
"02-Jun-2000",210939,70,0.159378205128205,0.404888461538462,NA,NA,NA,NA,NA,11.0275,14.3875,1.1015
