"sdate","id","depth","Chl_a_Holm-Hansen_F","Phaeo_Holm-HansenF","Chl_int","Phaeo_int","Chl_int_50m","Phaeo_int_50m","doy","NO2NO3_Tech_F","SiO4_Tech_F","PO4_Tech_F","NH3_Tech_F","NO2_Tech_F"
"28-Jan-2000",213017,1,0.407,0.275,35.9085,28.9495,19.101,14.707,28,9.4238555,9.334,0.946,NA,NA
"28-Jan-2000",213018,10,0.395,0.261,NA,NA,NA,NA,NA,9.7100015,9.1735,0.9385,NA,NA
"28-Jan-2000",213019,25,0.378,0.315,NA,NA,NA,NA,NA,9.6466475,9.3545,0.9365,NA,NA
"28-Jan-2000",213020,50,0.365,0.301,NA,NA,NA,NA,NA,8.8212935,8.2345,0.911,NA,NA
"28-Jan-2000",213021,95,0.382,0.332,NA,NA,NA,NA,NA,9.2864395,8.5945,0.9375,NA,NA
"21-Feb-2000",213025,1,0.4116,0.20265,25.5003,19.6392,14.2359,10.25535,52,9.5955,8.39,0.9395,NA,NA
"21-Feb-2000",213026,10,0.2898,0.21945,NA,NA,NA,NA,NA,9.393,8.386,0.937,NA,NA
"21-Feb-2000",213027,25,0.2646,0.1869,NA,NA,NA,NA,NA,9.0195,7.825,0.8435,NA,NA
"21-Feb-2000",213028,50,0.2562,0.22155,NA,NA,NA,NA,NA,10.404,8.8845,0.9605,NA,NA
"21-Feb-2000",213029,95,0.24444,0.19551,NA,NA,NA,NA,NA,8.5795,7.3685,0.887,NA,NA
"02-Mar-2000",213033,1,0.4662,-0.0252,30.45,13.526625,17.6925,7.02975,62,9.6065,8.5645,0.9155,NA,NA
"02-Mar-2000",213034,10,0.3612,0.1953,NA,NA,NA,NA,NA,10.166,8.9345,0.9265,NA,NA
"02-Mar-2000",213035,25,0.3402,0.15855,NA,NA,NA,NA,NA,8.4155,7.229,0.776,NA,NA
"02-Mar-2000",213036,50,0.3192,0.1323,NA,NA,NA,NA,NA,10.0555,8.6525,0.918,NA,NA
"02-Mar-2000",213037,95,0.2478,0.15645,NA,NA,NA,NA,NA,9.055,7.5515,0.881,NA,NA
"13-Mar-2000",213041,1,0.336,0.18375,24.2256,16.490775,13.4526,8.836275,73,9.436,8.761,0.8785,NA,NA
"13-Mar-2000",213042,10,0.2898,0.19845,NA,NA,NA,NA,NA,9.9755,8.829,0.8805,NA,NA
"13-Mar-2000",213043,25,0.2436,0.1659,NA,NA,NA,NA,NA,8.732,7.951,0.785,NA,NA
"13-Mar-2000",213044,50,0.2604,0.1701,NA,NA,NA,NA,NA,9.819,8.7545,0.884,NA,NA
"13-Mar-2000",213045,95,0.2184,0.1701,NA,NA,NA,NA,NA,8.3795,7.306,0.7935,NA,NA
"29-Mar-2000",213049,1,0.422182692307692,0.159717307692308,31.1219855769231,14.2573977564103,18.6853990384615,6.95567179487179,89,9.575,9.116,0.8965,NA,NA
"29-Mar-2000",213050,10,0.488307692307692,0.146492307692308,NA,NA,NA,NA,NA,9.428,8.3285,0.827,NA,NA
