"sdate","stime","vessel","id","depth","Chl_a_Holm-Hansen_F","Chl_int","Phaeo_int","Chl_int_50m","Phaeo_int_50m","gmt_doy","o2_um","NO2NO3_Tech_F","SiO4_Tech_F","PO4_Tech_F"
"05-Jan-2001","15:32","Sambro",213381,1,0.4599,27.28735,25.3157125,14.54985,11.0163375,5,321.5,5.4235,6.1895,0.853
"05-Jan-2001","15:32","Sambro",213382,5,0.4032,NA,NA,NA,NA,NA,NA,5.945,7.0605,0.856
"05-Jan-2001","15:32","Sambro",213383,10,0.4473,NA,NA,NA,NA,NA,NA,5.922,7.075,0.8465
"05-Jan-2001","15:32","Sambro",213384,20,0.2898,NA,NA,NA,NA,NA,NA,5.7595,6.7635,0.943
"05-Jan-2001","15:32","Sambro",213385,30,0.2205,NA,NA,NA,NA,NA,NA,6.275,7.217,0.954
"05-Jan-2001","15:32","Sambro",213386,40,0.1953,NA,NA,NA,NA,NA,317,6.1925,7.1295,0.9445
"05-Jan-2001","15:32","Sambro",213387,50,0.189,NA,NA,NA,NA,NA,NA,6.341,7.222,0.9705
"05-Jan-2001","15:32","Sambro",213388,75,0.1827,NA,NA,NA,NA,NA,NA,6.7555,7.5545,0.97
"05-Jan-2001","15:32","Sambro",213389,100,0.111,NA,NA,NA,NA,NA,NA,6.382,6.5205,0.909
"05-Jan-2001","15:32","Sambro",213390,140,0.11,NA,NA,NA,NA,NA,227.5,13.2245,13.0005,1.305
"20-Jan-2001","14:37","Sambro",234701,1,0.5733,32.08905,22.996575,17.71245,10.440675,20,318,5.2825,5.7595,0.82
"20-Jan-2001","14:37","Sambro",234702,5,0.5229,NA,NA,NA,NA,NA,NA,5.898,7.1765,0.9615
"20-Jan-2001","14:37","Sambro",234703,10,0.4914,NA,NA,NA,NA,NA,NA,5.318,5.7795,0.841
"20-Jan-2001","14:37","Sambro",234704,20,0.4788,NA,NA,NA,NA,NA,NA,4.9345,4.803,0.7795
"20-Jan-2001","14:37","Sambro",234705,30,0.2205,NA,NA,NA,NA,NA,NA,5.769,5.6435,0.926
"20-Jan-2001","14:37","Sambro",234706,40,0.1953,NA,NA,NA,NA,NA,307,5.9605,5.778,0.8945
"20-Jan-2001","14:37","Sambro",234707,50,0.2016,NA,NA,NA,NA,NA,NA,5.774,5.5675,0.8985
"20-Jan-2001","14:37","Sambro",234708,75,0.1827,NA,NA,NA,NA,NA,NA,5.493,5.267,0.8495
"20-Jan-2001","14:37","Sambro",234709,100,0.1638,NA,NA,NA,NA,NA,NA,6.202,6.2415,0.8955
"20-Jan-2001","14:37","Sambro",234710,140,0.09828,NA,NA,NA,NA,NA,292,7.699,7.769,1.0615
"13-Feb-2001","21:17","Needler",235410,1,0.2709,44.66115,23.22388125,13.4694,7.312725,44,235,6.219,6.7465,0.935
"13-Feb-2001","21:17","Needler",235409,5,0.2646,NA,NA,NA,NA,NA,NA,6.364,6.7075,0.9715
"13-Feb-2001","21:17","Needler",235408,10,0.2898,NA,NA,NA,NA,NA,NA,5.39,5.7695,0.8615
"13-Feb-2001","21:17","Needler",235407,20,0.2583,NA,NA,NA,NA,NA,NA,5.4005,5.853,0.8485
"13-Feb-2001","21:17","Needler",235406,30,0.2583,NA,NA,NA,NA,NA,NA,6.254,6.517,0.9135
