"sdate","stime","vessel","id","depth","Chl_a_Holm-Hansen_F","Phaeo_Holm-HansenF","Chl_int","Phaeo_int","Chl_int_50m","Phaeo_int_50m","doy","O2_Electrode","NO2NO3_Tech_F","SiO4_Tech_F","PO4_Tech_F"
"26-Apr-2001","14:53","Shippagan",205510,1,6.47352,0.939503999999999,246.526515,80.81328825,198.57879,55.607607,116,NA,4.3155,8.1015,0.808
"26-Apr-2001","14:53","Shippagan",205509,5,8.75124,1.13886,NA,NA,NA,NA,NA,NA,4.248,8.4295,0.849
"26-Apr-2001","14:53","Shippagan",205508,10,6.53346,1.183815,NA,NA,NA,NA,NA,NA,5.3135,8.6805,0.842
"26-Apr-2001","14:53","Shippagan",205507,20,1.70505,0.68675625,NA,NA,NA,NA,NA,NA,7.5045,10.3335,0.9515
"26-Apr-2001","14:53","Shippagan",205506,30,2.33766,0.65934,NA,NA,NA,NA,NA,NA,5.1605,7.181,0.8695
"26-Apr-2001","14:53","Shippagan",205505,40,3.35664,1.73826,NA,NA,NA,NA,NA,NA,4.607,6.185,0.8585
"26-Apr-2001","14:53","Shippagan",205504,50,3.35664,1.58841,NA,NA,NA,NA,NA,NA,4.624,6.3745,0.8525
"26-Apr-2001","14:53","Shippagan",205503,60,1.307205,0.65833875,NA,NA,NA,NA,NA,NA,8.489,10.8615,1.0085
"26-Apr-2001","14:53","Shippagan",205502,70,1.17459,0.55414125,NA,NA,NA,NA,NA,NA,9.3095,15.409,1.19
"26-Apr-2001","14:53","Shippagan",205501,80,1.269315,1.02776625,NA,NA,NA,NA,NA,NA,10.7195,17.667,1.305
"03-May-2001","16:56","Opilio",205520,1,11.86656,2.38733866666667,462.64332,200.835786916667,444.64557,159.512005666667,123,NA,0.075,0.28,0.5635
"03-May-2001","16:56","Opilio",205519,5,13.00272,2.67769066666667,NA,NA,NA,NA,NA,NA,0.083,0.3305,0.558
"03-May-2001","16:56","Opilio",205518,10,15.52752,3.64553066666667,NA,NA,NA,NA,NA,NA,0.115,0.4525,0.5215
"03-May-2001","16:56","Opilio",205517,20,9.03096,3.890772,NA,NA,NA,NA,NA,NA,1.3425,1.5495,0.6945
"03-May-2001","16:56","Opilio",205516,30,5.3946,3.26784,NA,NA,NA,NA,NA,NA,1.064,0.954,0.647
"03-May-2001","16:56","Opilio",205515,40,8.58432,3.16161066666667,NA,NA,NA,NA,NA,NA,1.5275,1.5275,0.7405
"03-May-2001","16:56","Opilio",205514,50,0.79569,1.951335,NA,NA,NA,NA,NA,NA,5.7865,7.7955,0.9545
"03-May-2001","16:56","Opilio",205513,60,0.60624,1.66716,NA,NA,NA,NA,NA,NA,8.682,10.9565,1.0775
"03-May-2001","16:56","Opilio",205512,70,0.511515,0.93304125,NA,NA,NA,NA,NA,NA,9.7345,17.292,1.303
"03-May-2001","16:56","Opilio",205511,80,0.56835,1.11301875,NA,NA,NA,NA,NA,NA,10.529,18.0065,1.372
"17-May-2001","16:07","Opilio",205530,1,0.6174,0.22218,20.991825,50.31700875,15.31845,21.1612275,137,NA,1.1285,1.1475,0.5165
"17-May-2001","16:07","Opilio",205529,5,0.504,0.20475,NA,NA,NA,NA,NA,NA,1.1285,1.198,0.5575
"17-May-2001","16:07","Opilio",205528,10,0.4725,0.181125,NA,NA,NA,NA,NA,NA,1.0945,1.1725,0.588
"17-May-2001","16:07","Opilio",205527,20,0.2898,0.13545,NA,NA,NA,NA,NA,NA,1.002,1.1305,0.5865
"17-May-2001","16:07","Opilio",205526,30,0.252,0.779625,NA,NA,NA,NA,NA,NA,6.4335,9.083,0.988
