"sdate","stime","vessel","id","depth","Chl_a_Holm-Hansen_F","Phaeo_Holm-HansenF","Chl_int","Phaeo_int","Chl_int_50m","Phaeo_int_50m","j_day","o2_um","NO3_Tech_F","SiO4_Tech_F","PO4_Tech_F","NH3_Tech_F","NO2_Tech_F"
"02-Jan-2001","15:38","Pandalus","171129",1,0.5502,0.2583,39.5913,21.5593875,21.7308,10.8927,2,NA,7.543,6.609,0.9185,4.183,0.2305
"02-Jan-2001","15:38","Pandalus","171130",10,0.4221,0.200025,NA,NA,NA,NA,NA,NA,7.182,6.446,0.8365,1.021,0.234
"02-Jan-2001","15:38","Pandalus","171131",25,0.4221,0.200025,NA,NA,NA,NA,NA,NA,7.89,7.006,0.911,0.742,0.2425
"02-Jan-2001","15:38","Pandalus","171132",50,0.4158,0.2457,NA,NA,NA,NA,NA,NA,7.5565,6.509,0.868,1.165,0.2415
"02-Jan-2001","15:38","Pandalus","171133",95,0.378,0.228375,NA,NA,NA,NA,NA,NA,8.3455,6.867,0.93,1.328,0.263
"15-Jan-2001","14:06","Pandalus","171134",1,0.4662,0.3213,43.90155,28.0641375,22.2138,14.3143875,15,334.38,8.646,7.529,0.9435,1.1005,0.276
"15-Jan-2001","14:06","Pandalus","171135",10,0.3906,0.3024,NA,NA,NA,NA,NA,NA,7.905,7.3945,0.94,0.9215,0.2715
"15-Jan-2001","14:06","Pandalus","171136",25,0.3465,0.252,NA,NA,NA,NA,NA,NA,6.8395,5.5655,0.814,1.368,0.2395
"15-Jan-2001","14:06","Pandalus","171137",50,0.6426,0.310275,NA,NA,NA,NA,NA,353.13,7.8745,7.2335,0.92,2.5955,0.2675
"15-Jan-2001","14:06","Pandalus","171138",95,0.3213,0.300825,NA,NA,NA,NA,NA,NA,8.6525,7.5025,0.9365,0.708,0.254
"29-Jan-2001","14:25","Pandalus","171142",1,0.4536,0.1764,34.94295,17.6029875,19.2087,9.416925,29,334.38,8.829,7.924,0.9655,2.8415,0.288
"29-Jan-2001","14:25","Pandalus","171143",10,0.3612,0.19005,NA,NA,NA,NA,NA,NA,8.713,7.728,0.978,0.892,0.2985
"29-Jan-2001","14:25","Pandalus","171144",25,0.3906,0.19215,NA,NA,NA,NA,NA,NA,8.9035,7.8375,0.9835,1.5055,0.2915
"29-Jan-2001","14:25","Pandalus","171145",50,0.3654,0.18585,NA,NA,NA,NA,NA,331.25,8.0325,7.3085,0.9145,2.1965,0.2775
"29-Jan-2001","14:25","Pandalus","171146",95,0.3339,0.177975,NA,NA,NA,NA,NA,NA,6.7465,6.6975,0.8335,0.971,0.2525
"13-Feb-2001","14:10","Pandalus","171150",1,0.4536,0.3024,35.50365,28.3429125,19.06065,15.1956,44,NA,8.3545,6.851,0.9165,0.989,0.232
"13-Feb-2001","14:10","Pandalus","171151",10,0.3843,0.332325,NA,NA,NA,NA,NA,NA,8.8055,7.3005,0.9455,1.7765,0.2245
"13-Feb-2001","14:10","Pandalus","171152",25,0.3654,0.2961,NA,NA,NA,NA,NA,NA,8.6,7.052,0.9275,1.2855,0.2425
"13-Feb-2001","14:10","Pandalus","171153",50,0.3717,0.2898,NA,NA,NA,NA,NA,NA,7.6425,6.5535,0.8845,1.9115,0.257
"13-Feb-2001","14:10","Pandalus","171154",95,0.3591,0.294525,NA,NA,NA,NA,NA,NA,7.6795,6.9155,0.9035,1.622,0.2365
"01-Mar-2001","14:15","Pandalus","171158",1,0.5166,0.25515,42.26355,22.7878875,23.1273,12.333825,60,350,8.986,7.9585,1.0205,5.3845,0.27
"01-Mar-2001","14:15","Pandalus","171159",10,0.4725,0.252,NA,NA,NA,NA,NA,NA,8.8795,8.0005,0.985,2.2115,0.281
"01-Mar-2001","14:15","Pandalus","171160",25,0.4473,0.2457,NA,NA,NA,NA,NA,NA,8.4415,7.81,0.9795,2.0255,0.2665
"01-Mar-2001","14:15","Pandalus","171161",50,0.4536,0.2394,NA,NA,NA,NA,NA,312.5,8.4005,8.075,0.993,3.202,0.26
"01-Mar-2001","14:15","Pandalus","171162",95,0.3969,0.225225,NA,NA,NA,NA,NA,NA,8.778,7.479,0.9625,2.8985,0.2485
"20-Mar-2001","13:54","Pandalus","171166",1,1.269315,0.15156,92.8020825,14.59238625,56.1435075,8.62471125,79,359.38,NA,NA,NA,NA,NA
"20-Mar-2001","13:54","Pandalus","171167",10,1.1367,0.16576875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20-Mar-2001","13:54","Pandalus","171168",25,1.1367,0.18945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
