"sdate","stime","vessel","id","depth","Chl_a_Holm-Hansen_F","Phaeo_Holm-HansenF","Chl_int","Phaeo_int","Chl_int_50m","Phaeo_int_50m","j_day","o2_ml","o2_um","NO3_Tech_F","SiO4_Tech_F","PO4_Tech_F","NH3_Tech_F","NO2_Tech_F"
"03-Jan-2002","14:25","Pandalus",46317,1,0.294,0.173,26.6045,14.6955,14.2295,7.5855,3,NA,NA,10.351,9.084,1.178,0.853,0.153
"03-Jan-2002","14:25","Pandalus",46319,10,0.3,0.167,NA,NA,NA,NA,NA,NA,NA,10.397,9.2105,0.97,0.2265,0.1565
"03-Jan-2002","14:25","Pandalus",46320,25,0.275,0.139,NA,NA,NA,NA,NA,NA,NA,10.334,9.258,0.9775,0.1575,0.152
"03-Jan-2002","14:25","Pandalus",46321,50,0.281,0.148,NA,NA,NA,NA,NA,NA,NA,10.069,8.934,1.0205,0.437,0.154
"03-Jan-2002","14:25","Pandalus",46322,95,0.269,0.168,NA,NA,NA,NA,NA,NA,NA,10.3345,9.1905,0.992,0.193,0.157
"15-Jan-2002","14:19","Pandalus",46325,1,0.424,0.311,35.9345,21.431,19.1495,11.7335,15,NA,NA,7.413,6.7735,1.01,1.5475,0.124
"15-Jan-2002","14:19","Pandalus",46326,10,0.385,0.244,NA,NA,NA,NA,NA,NA,NA,9.9995,9.391,0.9525,0.2575,0.1505
"15-Jan-2002","14:19","Pandalus",46327,25,0.373,0.226,NA,NA,NA,NA,NA,NA,NA,8.937,8.3395,0.857,0.2255,0.149
"15-Jan-2002","14:19","Pandalus",46328,50,0.379,0.206,NA,NA,NA,NA,NA,NA,NA,9.7215,8.9445,0.939,0.184,0.1565
"15-Jan-2002","14:19","Pandalus",46329,95,0.367,0.225,NA,NA,NA,NA,NA,NA,NA,10.08,9.2865,0.9355,0.1855,0.164
"29-Jan-2002","13:11","Pandalus",46333,1,0.404,0.218,35.2545,27.301,19.2795,14.0485,29,NA,NA,7.755,6.457,0.9265,2.5035,0.1115
"29-Jan-2002","13:11","Pandalus",46334,10,0.385,0.266,NA,NA,NA,NA,NA,NA,NA,9.403,8.8525,0.97,0.345,0.1355
"29-Jan-2002","13:11","Pandalus",46335,25,0.4,0.291,NA,NA,NA,NA,NA,NA,NA,9.2215,8.5825,0.954,0.704,0.137
"29-Jan-2002","13:11","Pandalus",46336,50,0.355,0.307,NA,NA,NA,NA,NA,NA,NA,8.75,8.1885,0.939,0.5395,0.134
"29-Jan-2002","13:11","Pandalus",46337,95,0.355,0.282,NA,NA,NA,NA,NA,NA,NA,8.8985,8.43,0.919,0.417,0.135
"13-Feb-2002","14:11","Pandalus",46341,1,0.367,0.181,31.5785,21.968,17.1335,10.763,44,NA,NA,9.208,7.8785,0.9295,0.484,0.1395
"13-Feb-2002","14:11","Pandalus",46342,10,0.33,0.21,NA,NA,NA,NA,NA,NA,NA,9.034,7.833,0.9035,0.2015,0.115
"13-Feb-2002","14:11","Pandalus",46343,25,0.359,0.228,NA,NA,NA,NA,NA,NA,NA,9.051,8.015,0.879,0.1815,0.1185
"13-Feb-2002","14:11","Pandalus",46344,50,0.318,0.215,NA,NA,NA,NA,NA,NA,NA,9.25,8.2585,0.9055,0.255,0.1285
"13-Feb-2002","14:11","Pandalus",46345,95,0.324,0.283,NA,NA,NA,NA,NA,NA,NA,9.0315,8.1275,0.913,0.259,0.122
