"sdate","stime","vessel","id","depth","Chl_a_Holm-Hansen_F","Phaeo_Holm-HansenF","Chl_int","Phaeo_int","Chl_int_50m","Phaeo_int_50m","gmt_doy","O2_Electrode","o2_ml","o2_um","NO2NO3_Tech_F","SiO4_Tech_F","PO4_Tech_F","Salinity_Sal_PSS","gmt_doy","NO2NO3_Tech_F_int>50m","SiO4_Tech_F_int>50m","PO4_Tech_F_int>50m"
"15-Jan-2003","14:24","SAMBRO",188541,1,0.34264132231405,0.201394524793388,24.4054318181818,16.5603784090909,17.1963113636364,8.59480568181818,15,92.8,7.404,330.5,5.5045,6.1955,0.853,NA,15,828.02,858.46375,95.52125
"15-Jan-2003","14:24","SAMBRO",188542,5,0.367115702479339,0.168939669421487,NA,NA,NA,NA,NA,NA,NA,NA,5.099,6.1905,0.832,NA,47,1174.68125,976.31,97.53875
"15-Jan-2003","14:24","SAMBRO",188543,10,0.373234297520661,0.192860330578512,NA,NA,NA,NA,NA,NA,NA,NA,5.289,6.25,0.863,NA,63,581.62125,691.67625,71.12
"15-Jan-2003","14:24","SAMBRO",188544,20,0.367115702479339,0.191552169421488,NA,NA,NA,NA,NA,NA,NA,NA,5.218,6.212,0.863,NA,65,446.195,474.9425,46
"15-Jan-2003","14:24","SAMBRO",188545,30,0.330404132231405,0.176165702479339,NA,NA,NA,NA,NA,NA,NA,NA,5.275,6.1985,0.856,NA,79,800.31,836.86625,82.89125
"15-Jan-2003","14:24","SAMBRO",188546,40,0.31816694214876,0.188624380165289,NA,NA,NA,NA,NA,93.4,7.456,333,5.323,6.2515,0.8585,NA,102,582.2675,488.7325,66.38
"15-Jan-2003","14:24","SAMBRO",188547,50,0.312048347107438,0.0441037190082643,NA,NA,NA,NA,NA,NA,NA,NA,5.636,6.339,0.8795,NA,108,1362.185,1081.45925,129.47625
"15-Jan-2003","14:24","SAMBRO",188548,75,0.0974409090909091,0.121227954545455,NA,NA,NA,NA,NA,NA,NA,NA,6.45,6.8185,0.9185,NA,125,1027.51875,723.4825,97.84625
"15-Jan-2003","14:24","SAMBRO",188549,100,0.0212598347107438,0.0874803719008264,NA,NA,NA,NA,NA,NA,NA,NA,9.536,10.5835,1.126,NA,136,864.48,711.525,100.6925
"15-Jan-2003","14:24","SAMBRO",188550,140,0.00907743801652893,0.0770232644628099,NA,NA,NA,NA,NA,61.6,4.122,183.5,14.32,13.24,1.2485,NA,149,979.2725,922.2025,105.9925
"17-Feb-2003","01:41","NEEDLER",244859,1,0.171850330578512,0.110946756198347,10.9426871487603,10.3134214152893,7.94763487603306,5.11918902892562,47,NA,NA,NA,7.4475,7.9805,0.874,31.666,177,886.92125,867.4875,97.7525
"17-Feb-2003","01:41","NEEDLER",244858,5,0.141732231404959,0.095777479338843,NA,NA,NA,NA,NA,NA,NA,NA,7.895,8.46,0.9205,NA,194,1123.8925,984.04,112.6
"17-Feb-2003","01:41","NEEDLER",244857,10,0.18779520661157,0.0925307851239669,NA,NA,NA,NA,NA,NA,NA,NA,7.8415,8.293,0.8705,NA,199,1155.2405,1173.511,118.2565
"17-Feb-2003","01:41","NEEDLER",244856,20,0.17007867768595,0.128027975206612,NA,NA,NA,NA,NA,NA,NA,NA,7.95,8.362,0.9185,NA,212,1302.4875,1226.475,120.21875
"17-Feb-2003","01:41","NEEDLER",244855,30,0.161220413223141,0.0912140702479338,NA,NA,NA,NA,NA,NA,NA,NA,7.99,8.431,0.913,NA,225,1139.62875,1015.285,105.7
"17-Feb-2003","01:41","NEEDLER",244854,40,0.148818842975207,0.0972926033057851,NA,NA,NA,NA,NA,82.1382960549237,6.4815,289.5,8.421,8.7805,0.9325,31.819,246,899.48375,859.575,95.12875
"17-Feb-2003","01:41","NEEDLER",244853,50,0.116929090909091,0.0992045454545454,NA,NA,NA,NA,NA,NA,NA,NA,8.6315,8.972,0.9475,NA,259,1016.05875,1018.42875,99.7625
"17-Feb-2003","01:41","NEEDLER",244852,75,0.038903305785124,0.069022561983471,NA,NA,NA,NA,NA,NA,NA,NA,11.3135,10.749,1.0735,NA,292,1267.763,1164.7805,124.118
"17-Feb-2003","01:41","NEEDLER",244851,100,0.0116709917355372,0.0408352685950413,NA,NA,NA,NA,NA,NA,NA,NA,12.824,10.182,1.003,NA,297,1221.65725,1039.87275,110.70375
"17-Feb-2003","01:41","NEEDLER",244850,140,0.00907743801652892,0.0450732644628099,NA,NA,NA,NA,NA,52.2268021656449,3.3165,148,18.3585,13.226,1.313,34.886,304,1235.8425,1076.045,109.5875
"17-Feb-2003","01:41","NEEDLER",258855,75,0.330404132231405,0.144900567768595,NA,NA,NA,NA,NA,NA,NA,NA,6.17,8.2465,0.856,NA,NA,NA,NA,NA
