"sdate","stime","vessel","id","depth","Chl_a_Holm-Hansen_F","Phaeo_Holm-HansenF","Chl_int","Phaeo_int","Chl_int_50m","Phaeo_int_50m","doy","O2_Electrode","o2_ml","o2_um","NO2NO3_Tech_F","SiO4_Tech_F","PO4_Tech_F","Salinity_Sal_PSS"
"19-Apr-2003","22:44","CORIOLIS II",302032,1.3,0.625,"nan",199.1175,NA,114.1425,NA,109,NA,"8.16",NA,13.4,22.68,1.295,NA
"19-Apr-2003","22:44","CORIOLIS II",302031,5,0.565,"nan",NA,NA,NA,NA,NA,NA,NA,NA,13.355,22.765,1.295,NA
"19-Apr-2003","22:44","CORIOLIS II",302030,15.1,0.82,"nan",NA,NA,NA,NA,NA,NA,NA,NA,12.16,21.735,1.225,NA
"19-Apr-2003","22:44","CORIOLIS II",302029,25.4,2.135,"nan",NA,NA,NA,NA,NA,NA,NA,NA,9.91,17.44,1.08,NA
"19-Apr-2003","22:44","CORIOLIS II",302028,50.5,5.02,"nan",NA,NA,NA,NA,NA,NA,NA,NA,6.325,11.03,0.87,NA
"19-Apr-2003","22:44","CORIOLIS II",302027,75.6,1.27,"nan",NA,NA,NA,NA,NA,NA,"7.375",NA,7.92,17.93,1.165,NA
"22-May-2003","12:38","SPRAY(SAR)",245258,1,2.4945023255814,"0.18381976744186021",346.423389147287,40.7390306686047,320.394610077519,-25.8406539244186,142,"n/a","n/a","n/a",3.26,3.0175,0.5275,30.041
"22-May-2003","12:38","SPRAY(SAR)",245257,5,3.84569108527132,"-0.88029244186046451",NA,NA,NA,NA,NA,NA,NA,NA,3.037,2.8055,0.4765,NA
"22-May-2003","12:38","SPRAY(SAR)",245256,10,2.18268953488372,"2.7297235465116274",NA,NA,NA,NA,NA,NA,NA,NA,2.006,2.2485,0.481,NA
"22-May-2003","12:38","SPRAY(SAR)",245255,20,7.71712248062015,"-0.46872558139534809",NA,NA,NA,NA,NA,NA,NA,NA,0.074,1.3465,0.5365,31.436
"22-May-2003","12:38","SPRAY(SAR)",245254,30,1.71497034883721,"1.2790792151162786",NA,NA,NA,NA,NA,NA,NA,NA,1.087,1.776,0.657,NA
"22-May-2003","12:38","SPRAY(SAR)",245253,40,17.3635255813953,"-6.3898325581395357",NA,NA,NA,NA,NA,NA,NA,NA,1.143,1.278,0.6535,NA
"22-May-2003","12:38","SPRAY(SAR)",245252,50,2.25582751937984,"2.578213081395349",NA,NA,NA,NA,NA,NA,NA,NA,5.1415,5.7145,1.1295,31.609
"22-May-2003","12:38","SPRAY(SAR)",245251,60,0.624690697674419,"2.069458430232558",NA,NA,NA,NA,NA,NA,NA,NA,5.9695,8.323,1.0625,NA
"22-May-2003","12:38","SPRAY(SAR)",245250,70,0.520575581395349,"2.3916924418604655",NA,NA,NA,NA,NA,NA,NA,NA,6.756,10.3815,1.1435,NA
"22-May-2003","12:38","SPRAY(SAR)",245249,80,0.659395736434109,"1.8154220930232561",NA,NA,NA,NA,NA,NA,NA,NA,5.171,7.918,1.024,31.814
"29-May-2003","20:08","OPILIO",261126,1,0.83478488372093,"0.47298401162790704",13.5196540697674,46.6249970930233,9.63863662790698,18.3869738372093,149,"101.72274740184906","7.274","325",1.879,3.0645,0.382,28.922
"29-May-2003","20:08","OPILIO",261125,5,0.522350775193798,"0.36539825581395335",NA,NA,NA,NA,NA,NA,NA,NA,2.005,3.0335,0.4725,NA
"29-May-2003","20:08","OPILIO",261124,10,0.253852713178294,"0.28270639534883729",NA,NA,NA,NA,NA,NA,NA,NA,1.114,1.4025,0.463,NA
"29-May-2003","20:08","OPILIO",261123,20,0.117162790697674,"0.24375872093023254",NA,NA,NA,NA,NA,"79.454860426349342","6.3840000000000003","285.5",3.4755,2.733,1.339,31.153
"29-May-2003","20:08","OPILIO",261122,30,0.0536996124031008,"0.42367587209302326",NA,NA,NA,NA,NA,NA,NA,NA,1.7495,2.526,0.797,NA
