"sdate","stime","vessel","id","depth","Chl_a_Holm-Hansen_F","Phaeo_Holm-HansenF","Chl_int","Phaeo_int","Chl_int_50m","Phaeo_int_50m","gmt_doy","O2_Electrode","o2_ml","o2_um","NO2NO3_Tech_F","SiO4_Tech_F","PO4_Tech_F","NH3_Tech_F","NO2_Tech_F","Salinity_Sal_PSS"
"19-Feb-2005","02:16","TELEOST",272610,1,0.35637015503876,0.22529215116279,34.6810736434108,24.8088968023256,16.7420746124031,9.58426962209302,50,124.344064493553,10.1235,452,4.206,5.088,0.671,NA,NA,NA
"19-Feb-2005","02:16","TELEOST",272609,5,0.361251937984496,0.189558139534884,NA,NA,NA,NA,NA,NA,NA,NA,5.3965,6.833,0.772,NA,NA,NA
"19-Feb-2005","02:16","TELEOST",272608,10,0.327079457364341,0.179821220930233,NA,NA,NA,NA,NA,NA,NA,NA,5.0515,5.8365,0.684,NA,NA,NA
"19-Feb-2005","02:16","TELEOST",272607,20,0.336843023255814,0.176415697674419,NA,NA,NA,NA,NA,NA,NA,NA,5.2735,6.067,0.7285,NA,NA,NA
"19-Feb-2005","02:16","TELEOST",272606,30,0.331961240310078,0.218337209302325,NA,NA,NA,NA,NA,NA,NA,NA,5.179,6.048,0.732,NA,NA,NA
"19-Feb-2005","02:16","TELEOST",272605,40,0.351488372093023,0.186776162790698,NA,NA,NA,NA,NA,123.204265751107,9.9605,445,5.8135,6.497,0.7425,NA,NA,NA
"19-Feb-2005","02:16","TELEOST",272604,50,0.278261627906977,0.178286337209302,NA,NA,NA,NA,NA,NA,NA,NA,5.6605,6.339,0.8165,NA,NA,NA
"19-Feb-2005","02:16","TELEOST",272603,75,0.20503488372093,0.169796511627907,NA,NA,NA,NA,NA,NA,NA,NA,5.4325,5.468,0.7605,NA,NA,NA
"19-Feb-2005","02:16","TELEOST",272602,100,0.214798449612403,0.197328488372093,NA,NA,NA,NA,NA,NA,NA,NA,4.747,4.882,0.731,NA,NA,NA
"19-Feb-2005","02:16","TELEOST",272601,147,0.117695348837209,0.116897965116279,NA,NA,NA,NA,NA,103.526386847112,7.168,320.5,10.9125,10.587,1.079,NA,NA,NA
"04-Mar-2005","05:00","TELEOST",272752,1,0.361251937984496,0.177183139534884,27.2862819767442,16.4941155523256,16.7030203488372,8.48920421511628,63,96.9377498409976,7.912,353.5,5.563,6.3205,0.8045,NA,NA,NA
"04-Mar-2005","05:00","TELEOST",272751,5,0.361251937984496,0.158620639534884,NA,NA,NA,NA,NA,NA,NA,NA,5.4395,6.09,0.8145,NA,NA,NA
"04-Mar-2005","05:00","TELEOST",272750,10,0.366133720930233,0.172386627906977,NA,NA,NA,NA,NA,NA,NA,NA,5.5335,6.113,0.8365,NA,NA,NA
"04-Mar-2005","05:00","TELEOST",272749,20,0.346606589147287,0.160635174418605,NA,NA,NA,NA,NA,NA,NA,NA,5.5605,6.136,0.841,NA,NA,NA
"04-Mar-2005","05:00","TELEOST",272748,30,0.351488372093023,0.186776162790698,NA,NA,NA,NA,NA,NA,NA,NA,5.251,5.788,0.8045,NA,NA,NA
"04-Mar-2005","05:00","TELEOST",272747,40,0.312434108527132,0.175648255813953,NA,NA,NA,NA,NA,96.7104390243341,7.856,350.5,5.601,6.135,0.8155,NA,NA,NA
"04-Mar-2005","05:00","TELEOST",272746,50,0.228467441860465,0.144073255813953,NA,NA,NA,NA,NA,NA,NA,NA,5.677,6.0155,0.837,NA,NA,NA
"04-Mar-2005","05:00","TELEOST",272745,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"04-Mar-2005","05:00","TELEOST",272744,100,0.221544186046512,0.142100581395349,NA,NA,NA,NA,NA,NA,NA,NA,6.174,6.5205,0.846,NA,NA,NA
"04-Mar-2005","05:00","TELEOST",272743,154,0.0263616279069768,0.0792863372093023,NA,NA,NA,NA,NA,69.7820224613584,4.938,220.5,13.573,13.0055,1.244,NA,NA,NA
"16-Mar-2005","04:51","TELEOST",273811,1,0.512587209302326,0.368803779069767,35.0365562015504,48.3301547965116,22.7344631782946,18.9920515988372,75,100.571378267573,8.2745,369.5,5.2185,6.295,0.729,NA,NA,NA
"16-Mar-2005","04:51","TELEOST",273810,5,0.468651162790698,0.38722238372093,NA,NA,NA,NA,NA,NA,NA,NA,5.4895,6.5915,0.7675,NA,NA,NA
"16-Mar-2005","04:51","TELEOST",273809,10,0.488178294573643,0.386598837209302,NA,NA,NA,NA,NA,NA,NA,NA,5.527,6.626,0.7575,NA,NA,NA
"16-Mar-2005","04:51","TELEOST",273808,20,0.502823643410853,0.384584302325581,NA,NA,NA,NA,NA,NA,NA,NA,5.2665,6.407,0.732,NA,NA,NA
"16-Mar-2005","04:51","TELEOST",273807,30,0.463769379844961,0.385831395348837,NA,NA,NA,NA,NA,NA,NA,NA,5.6245,6.499,0.771,NA,NA,NA
"16-Mar-2005","04:51","TELEOST",273806,40,0.419833333333333,0.3795,NA,NA,NA,NA,NA,100.170936105298,8.1875,366,5.433,6.9925,0.7435,NA,NA,NA
"16-Mar-2005","04:51","TELEOST",273805,50,0.312434108527132,0.348898255813953,NA,NA,NA,NA,NA,NA,NA,NA,5.5945,6.552,0.7515,NA,NA,NA
"16-Mar-2005","04:51","TELEOST",273804,75,0.21968023255814,0.341031976744186,NA,NA,NA,NA,NA,NA,NA,NA,5.8885,6.423,0.801,NA,NA,NA
"16-Mar-2005","04:51","TELEOST",273803,100,0.0683449612403101,0.328848837209302,NA,NA,NA,NA,NA,NA,NA,NA,7.126,7.4595,0.8585,NA,NA,NA
"16-Mar-2005","04:51","TELEOST",273802,147,0.034172480620155,0.288174418604651,NA,NA,NA,NA,NA,83.5291707631831,6.181,276,10.325,11.1325,1.036,NA,NA,NA
"01-Apr-2005","21:48","NEEDLER",281930,3,7.09287913533835,1.43959694548872,659.521500469925,105.496170817669,419.342516447368,59.9749786184211,91,NA,NA,NA,1.369,2.0185,0.5625,NA,NA,NA
"01-Apr-2005","21:48","NEEDLER",281929,9,8.43477518796993,0.30791207706767,NA,NA,NA,NA,NA,107.96435986039,8.6645,387,1.368,1.9205,0.5385,NA,NA,NA
"01-Apr-2005","21:48","NEEDLER",281928,20,9.13767312030075,1.10638547932331,NA,NA,NA,NA,NA,NA,NA,NA,1.6035,1.967,0.5525,NA,NA,NA
"01-Apr-2005","21:48","NEEDLER",281927,30,8.17917593984962,1.53956038533835,NA,NA,NA,NA,NA,NA,NA,NA,1.7435,2.038,0.564,NA,NA,NA
"01-Apr-2005","21:48","NEEDLER",281926,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01-Apr-2005","21:48","NEEDLER",281925,50,8.88207387218045,1.27114003759398,NA,NA,NA,NA,NA,NA,NA,NA,1.5305,1.6925,0.5495,NA,NA,NA
"01-Apr-2005","21:48","NEEDLER",281924,60,9.84057105263158,1.00210263157895,NA,NA,NA,NA,NA,NA,NA,NA,1.0375,1.1675,0.5105,NA,NA,NA
"01-Apr-2005","21:48","NEEDLER",281923,80,0.576412218045113,0.294385009398496,NA,NA,NA,NA,NA,NA,NA,NA,7.155,7.2325,0.8995,NA,NA,NA
"01-Apr-2005","21:48","NEEDLER",281922,100,0.732636090225564,0.364925046992481,NA,NA,NA,NA,NA,NA,NA,NA,5.9075,5.0525,0.817,NA,NA,NA
"01-Apr-2005","21:48","NEEDLER",281921,138,0.430962406015038,0.331059586466166,NA,NA,NA,NA,NA,78.3188963986778,5.693,254,1.385,2.18,0.565,NA,NA,NA
"10-Apr-2005","14:01","NEEDLER",282317,2,0.781776315789474,0.320847039473684,250.98742481203,163.020403547932,98.0291658834587,50.5671111372181,100,105.691797080821,8.4595,377.5,1.059,1.893,0.4735,NA,NA,NA
"10-Apr-2005","14:01","NEEDLER",282316,5,0.819003759398496,0.404429041353383,NA,NA,NA,NA,NA,NA,NA,NA,0.6245,0.961,0.324,NA,NA,NA
"10-Apr-2005","14:01","NEEDLER",282315,10,1.58216635338346,0.767156954887219,NA,NA,NA,NA,NA,NA,NA,NA,0.4165,0.6825,0.362,NA,NA,NA
"10-Apr-2005","14:01","NEEDLER",282314,20,2.55007988721805,1.3624765037594,NA,NA,NA,NA,NA,NA,NA,NA,0.5865,0.4655,0.4545,NA,NA,NA
"10-Apr-2005","14:01","NEEDLER",282313,30,2.32671522556391,1.0761407424812,NA,NA,NA,NA,NA,NA,NA,NA,0.416,0.3035,0.3855,NA,NA,NA
"10-Apr-2005","14:01","NEEDLER",282312,40,2.12196428571429,1.10651785714286,NA,NA,NA,NA,NA,100.698203623443,8.1085,362,2.0045,1.3965,0.5855,NA,NA,NA
"10-Apr-2005","14:01","NEEDLER",282311,50,2.02889567669173,1.31592222744361,NA,NA,NA,NA,NA,NA,NA,NA,0.789,0.5205,0.4455,NA,NA,NA
"10-Apr-2005","14:01","NEEDLER",282310,75,1.74968984962406,1.17913533834586,NA,NA,NA,NA,NA,NA,NA,NA,1.73,1.001,0.5135,NA,NA,NA
"10-Apr-2005","14:01","NEEDLER",282309,100,1.9730545112782,1.44156484962406,NA,NA,NA,NA,NA,NA,NA,NA,6.0595,4.211,0.7275,NA,NA,NA
"10-Apr-2005","14:01","NEEDLER",282308,155,0.986527255639098,0.98375117481203,NA,NA,NA,NA,NA,63.0265093266758,4.247,189.5,14.092,12.9045,1.185,NA,NA,NA
"27-Apr-2005","13:17","SAMBRO",260881,1,0.145406015037594,0.0643364661654136,10.1355,22.856625,5.21271804511278,4.08663439849624,117,102.899506008273,8.05,359.5,0.2895,0.272,0.452,NA,NA,NA
"27-Apr-2005","13:17","SAMBRO",260882,5,0.152413533834586,0.0530695488721805,NA,NA,NA,NA,NA,NA,NA,NA,0.266,0.299,0.4515,NA,NA,NA
"27-Apr-2005","13:17","SAMBRO",260883,10,0.154165413533835,0.0446278195488722,NA,NA,NA,NA,NA,NA,NA,NA,0.2855,0.2705,0.4605,NA,NA,NA
