"sdate","stime","vessel","id","depth","Chl_a_Holm-Hansen_F","Phaeo_Holm-HansenF","Chl_int","Phaeo_int","Chl_int_50m","Phaeo_int_50m","gmt_doy","O2_Electrode","o2_ml","o2_um","Salinity_Sal_PSS","NO2NO3_Tech_F","SiO4_Tech_F","PO4_Tech_F","NH3_Tech_F","NO2_Tech_F"
"15-Jan-2007","14:33","C6-4828",261100,1,0.436453585271318,0.230514639728682,25.1944413129845,24.2132275495155,18.0725357655039,11.5599096594961,15,"95.384327166921011","7.1624999999999996","320",30.793,5.2175,6.073,0.6705,"0.58899999999999997","0.20599999999999999"
"15-Jan-2007","14:33","C6-4828",261099,5,0.416309573643411,0.276644426356589,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2405,6.065,0.696,"0.46449999999999997","0.2205"
"15-Jan-2007","14:33","C6-4828",261098,10,0.35587753875969,0.23313336124031,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.189,6.013,0.7205,"0.5655","0.20800000000000002"
"15-Jan-2007","14:33","C6-4828",261097,20,0.35587753875969,0.22447143624031,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5575,5.1955,0.6435,"0.38600000000000001","0.23250000000000001"
"15-Jan-2007","14:33","C6-4828",261096,30,0.322304186046512,0.240720938953488,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1255,4.8235,0.585,"0.39300000000000002","0.16500000000000001"
"15-Jan-2007","14:33","C6-4828",261095,40,0.369306879844961,0.202380170155039,NA,NA,NA,NA,NA,"95.58821137867919","7.1555","319.5",30.83,5.2805,6.1825,0.6945,"0.38350000000000001","0.20599999999999999"
"15-Jan-2007","14:33","C6-4828",261094,50,0.349162868217054,0.239848031782946,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.288,6.1515,0.6535,"0.34650000000000003","0.20200000000000001"
"15-Jan-2007","14:33","C6-4828",261093,75,0.0486589496124031,0.156550812887597,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.068,7.507,0.7735,"0.54700000000000004","7.6999999999999999E-2"
"15-Jan-2007","14:33","C6-4828",261092,100,0.0299674903100775,0.133023259689922,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.674,11.123,1.103,"0.40500000000000003","8.5499999999999993E-2"
"15-Jan-2007","14:33","C6-4828",261091,140,0.0283476259689922,0.0709095615310077,NA,NA,NA,NA,NA,"72.872329583522301","5.3885000000000005","240.5",32.909,11.973,13.051,1.147,"0.71250000000000002","8.1000000000000003E-2"
"20-Feb-2007","05:42","Templeman",304392,1,0.293718193548387,0.131194126451613,25.9798767741935,14.9790252658065,16.0729122580645,5.85812778193549,51,"94.994456630939226","7.859","351",31.156,6.159,7.2335,0.8265,"1.0695000000000001","0.153"
