"sdate","stime","vessel","id","depth","Chl_a_Holm-Hansen_F","Phaeo_Holm-HansenF","Chl_int","Phaeo_int","Chl_int_50m","Phaeo_int_50m","doy","O2_Electrode","o2_ml","o2_um","Salinity_Sal_PSS","NO2NO3_Tech_F","SiO4_Tech_F","PO4_Tech_F","NH3_Tech_F","NO2_Tech_F"
"26-Apr-2007","15:17","Opilio",295280,1,2.12793313432836,1.15480606567164,224.41528141791,141.718259082089,152.453034402985,81.1855525970149,116,"101.94385224439574","141.80000000000001","8.36",31.174,0.4115,0.9655,0.5265,0.6015,0.0805
"26-Apr-2007","15:17","Opilio",295279,5,2.53921432835821,0.983140871641791,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.415,0.9495,0.493,0.492,0.073
"26-Apr-2007","15:17","Opilio",295278,10,2.48556895522388,1.03678624477612,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.432,1.0045,0.4925,0.44,0.074
"26-Apr-2007","15:17","Opilio",295277,20,2.95841485074627,1.42315324925373,NA,NA,NA,NA,NA,"102.64109558531544","139.15","8.4379999999999988",31.227,0.4265,0.965,0.5235,0.486,0.074
"26-Apr-2007","15:17","Opilio",295276,30,3.26982694029851,1.52903335970149,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0255,1.3015,0.543,1.0235,0.1075
"26-Apr-2007","15:17","Opilio",295275,40,3.65909205223881,2.18299874776119,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5405,1.9515,0.6415,1.074,0.1255
"26-Apr-2007","15:17","Opilio",295274,50,3.42553298507463,2.83385001492537,NA,NA,NA,NA,NA,"97.045799702551221","135.15","8.2035",31.46,2.3375,2.304,0.712,1.54,0.141
"26-Apr-2007","15:17","Opilio",295273,60,3.11412089552239,1.99770855447761,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.936,3.454,0.81,2.388,0.1705
"26-Apr-2007","15:17","Opilio",295272,70,1.66300656716418,1.90727183283582,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6675,5.1315,0.945,2.384,0.165
"26-Apr-2007","15:17","Opilio",295271,80,1.41266149253731,1.46273050746269,NA,NA,NA,NA,NA,"83.588395082990161","118.25","7.0510000000000002",31.644,9.503,16.1335,1.283,3.052,0.204
"10-May-2007","13:11","CapBreton",295290,1,1.18019820895522,0.568998591044776,348.741734104478,129.517311445522,316.643919179105,91.8868703708954,130,"116.54938562708739","144.15","8.6210000000000004",29.866,0.628,0.7005,0.225,1.1915,0.31
