"sdate","stime","vessel","id","depth","Chl_a_Holm-Hansen_F","Phaeo_Holm-HansenF","Chl_int","Phaeo_int","Chl_int_50m","Phaeo_int_50m","j_day","O2_Electrode","o2_ml","o2_um","NO3_Tech_F","SiO4_Tech_F","PO4_Tech_F","NH3_Tech_F","NO2_Tech_F"
"14-Jan-2008","14:12","Pandalus",239800,1,0.264210447761194,0.203404407960199,23.6952736567164,21.4170620511194,12.9947505223881,10.7105349037313,14,NA,NA,NA,9.9675,10.2175,0.9315,0.6145,0.1675
"14-Jan-2008","14:12","Pandalus",239799,10,0.255403432835821,0.217797855472637,NA,NA,NA,NA,NA,NA,NA,NA,9.6075,9.785,0.906,1.2545,0.1615
"14-Jan-2008","14:12","Pandalus",239798,25,0.264210447761194,0.209179024626866,NA,NA,NA,NA,NA,NA,NA,NA,9.6865,9.9175,0.918,0.43,0.175
"14-Jan-2008","14:12","Pandalus",239797,50,0.255403432835821,0.223572472139303,NA,NA,NA,NA,NA,NA,NA,NA,10.2975,10.4935,0.9305,0.578,0.169
"14-Jan-2008","14:12","Pandalus",239796,95,0.220175373134328,0.252273178855721,NA,NA,NA,NA,NA,NA,NA,NA,8.7875,8.422,0.846,0.4555,0.1885
"26-Feb-2008","13:51","Pandalus",239805,1,0.334666567164179,0.197974544527363,25.0207294029851,18.2893745254975,14.3202062686567,9.01206500310945,58,NA,NA,NA,9.0185,9.8525,0.894,0.683,0.208
"26-Feb-2008","13:51","Pandalus",239804,10,0.339070074626866,0.164792045771144,NA,NA,NA,NA,NA,NA,NA,NA,9.3435,10.2225,0.8865,0.65,0.17
"26-Feb-2008","13:51","Pandalus",239803,25,0.277420970149254,0.184701545024875,NA,NA,NA,NA,NA,NA,NA,NA,9.7575,10.2935,0.9305,0.396,0.163
"26-Feb-2008","13:51","Pandalus",239802,50,0.228982388059702,0.180133564676617,NA,NA,NA,NA,NA,NA,NA,NA,9.3275,9.452,0.918,0.2685,0.1655
"26-Feb-2008","13:51","Pandalus",239801,95,0.246596417910448,0.232191302985075,NA,NA,NA,NA,NA,NA,NA,NA,9.638,9.298,0.94,0.6735,0.1585
