"sdate","stime","vessel","id","depth","Chl_a_Holm-Hansen_F","Phaeo_Holm-HansenF","Chl_int","Phaeo_int","Chl_int_50m","Phaeo_int_50m","gmt_doy","O2_Electrode","o2_ml","o2_um","Salinity_Sal_PSS","NO2NO3_Tech_F","SiO4_Tech_F","PO4_Tech_F","NH3_Tech_F","NO2_Tech_F","X22"
"27-Jan-2009","15:11","SIGMA-T",306610,1,0.345615675847458,0.294027988652542,28.390334098517,29.941818877233,15.8437501927966,13.3544805729534,27,121.171144090678,8.8815,396.5,30.998,7.0205,7.071,0.809,2.9525,0.1675,NA
"27-Jan-2009","15:11","SIGMA-T",306609,5,0.309235078389831,0.274600749610169,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.299,7.293,0.8355,0.8305,0.1895,NA
"27-Jan-2009","15:11","SIGMA-T",306608,10,0.316511197881356,0.280203361618644,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1855,7.244,0.7915,0.712,0.171,NA
"27-Jan-2009","15:11","SIGMA-T",306607,20,0.331063436864407,0.265651122635593,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.042,7.1,0.7565,0.894,0.167,NA
"27-Jan-2009","15:11","SIGMA-T",306606,30,0.287406719915254,0.253500003084746,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.0655,7.0275,0.773,1.2775,0.177,NA
"27-Jan-2009","15:11","SIGMA-T",306605,40,0.33470149661017,0.26630597338983,NA,NA,NA,NA,NA,100.426190202225,8.159,364.5,30.992,6.1585,7.2945,0.755,0.6285,0.1665,NA
"27-Jan-2009","15:11","SIGMA-T",306604,50,0.301958958898305,0.256119406101695,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1955,7.5695,0.8025,0.6205,0.1655,NA
"27-Jan-2009","15:11","SIGMA-T",306603,75,0.247388062711864,0.211953360788136,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.507,7.4345,0.814,0.7275,0.1145,NA
"27-Jan-2009","15:11","SIGMA-T",306602,100,0.065173686440678,0.193226945559322,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8705,7.433,0.856,0.808,0.096,NA
"27-Jan-2009","15:11","SIGMA-T",306601,140,0.0234625271186441,0.0903567988813559,NA,NA,NA,NA,NA,69.5057795773697,5.5645,248.5,33.134,10.9905,11.983,1.029,0.963,0.0965,NA
"11-Feb-2009","19:26","NEEDLER",326510,2,0.327425377118644,-0.026921642118644,23.1363063300847,4.78656377716526,13.2025188173729,-0.529847021372877,42,95.5246761646217,8.0445,359,30.942,6.9795,8.644,0.782,0.632,0.1525,NA
"11-Feb-2009","19:26","NEEDLER",326509,5,0.298320899152542,-0.0149888061525423,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3755,7.1685,0.7005,1.057,0.143,NA
"11-Feb-2009","19:26","NEEDLER",326508,11,0.334701496610169,-0.0256119406101694,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.171,6.8305,0.705,0.569,0.133,NA
"11-Feb-2009","19:26","NEEDLER",326507,20,0.258302241949152,-0.00931343294915247,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.939,7.809,0.7605,0.4475,0.159,NA
"11-Feb-2009","19:26","NEEDLER",326506,30,0.25466418220339,-0.00567537320338973,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.782,6.984,0.6945,1.146,0.1535,NA
"11-Feb-2009","19:26","NEEDLER",326505,40,0.218283584745763,0.00494776125423738,NA,NA,NA,NA,NA,89.3645334504372,7.447,332.5,31.113,6.9325,8.288,0.7815,0.7005,0.167,NA
"11-Feb-2009","19:26","NEEDLER",326504,51,0.211007465254237,-0.0178264927542372,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7375,6.0455,0.691,3.219,0.17,NA
"11-Feb-2009","19:26","NEEDLER",326503,76,0.123830004237288,0.0930419547627119,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.708,8.1435,0.846,0.619,0.1265,NA
"11-Feb-2009","19:26","NEEDLER",326502,101,0.110795266949153,0.0614718210508475,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.578,9.0335,0.9025,1.5465,0.155,NA
"11-Feb-2009","19:26","NEEDLER",326501,127,0.0299798957627119,0.0607679452372882,NA,NA,NA,NA,NA,63.6449656443513,4.736,211.5,33.72,11.899,11.6625,1.0835,0.7265,0.123,NA
"21-Feb-2009","12:33","NEEDLER",326574,3,0.247388062711864,0.0273582092881357,23.1549943338983,3.3188433438517,13.6627333752119,1.53631625003814,52,92.3339252796013,7.773,347.5,31.114,6.9375,7.75,0.831,1.0545,0.1655,NA
"21-Feb-2009","12:33","NEEDLER",326573,7,0.261940301694915,0.0299776123050848,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1775,6.826,0.733,0.6535,0.1355,NA
"21-Feb-2009","12:33","NEEDLER",326572,11,0.258302241949153,0.0293227615508475,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.819,7.434,0.7715,1.023,0.1565,NA
"21-Feb-2009","12:33","NEEDLER",326571,19,0.272854480932203,0.0319421645677967,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.441,7.141,0.744,1.4005,0.159,NA
"21-Feb-2009","12:33","NEEDLER",326570,29,0.283768660169491,0.0381996273305085,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5965,8.0935,0.7745,0.7835,0.1515,NA
"21-Feb-2009","12:33","NEEDLER",326569,38,0.298320899152542,0.0279402988474576,NA,NA,NA,NA,NA,91.5722000096796,7.651,342,31.251,6.983,7.556,0.818,0.5755,0.1795,NA
"21-Feb-2009","12:33","NEEDLER",326568,46,0.251026122457627,0.0237201495423729,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.112,7.66,0.824,0.7125,0.1955,NA
"21-Feb-2009","12:33","NEEDLER",326567,75,0.102974424576271,0.0369925844237288,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.7095,8.152,0.858,0.585,0.125,NA
"21-Feb-2009","12:33","NEEDLER",326566,87,0.0729945288135593,0.00852471818644068,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1545,8.626,0.8885,0.5255,0.1145,NA
"21-Feb-2009","12:33","NEEDLER",326565,136,0.0703875813559322,0.0142078636440678,NA,NA,NA,NA,NA,77.9326155826571,5.914,264,32.734,8.1495,8.784,1.0845,1.0155,0.114,NA
"17-Mar-2009","14:19","SIGMA-T",306620,1,0.758402971186441,0.224537010813559,51.8054020167373,25.5975618437627,34.7204361470339,11.8883128709661,76,96.3685013227553,7.882,352.5,31.098,6.3565,7.418,0.759,0.856,0.2125,NA
"17-Mar-2009","14:19","SIGMA-T",306619,5,0.795701477966102,0.245921488033898,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.334,7.368,0.7835,0.966,0.2205,NA
"17-Mar-2009","14:19","SIGMA-T",306618,10,0.932462669491525,0.285209248508475,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.364,7.472,0.7775,0.685,0.2045,NA
"17-Mar-2009","14:19","SIGMA-T",306617,20,0.808134313559322,0.248159398440678,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.216,7.278,0.813,0.6675,0.2075,NA
"17-Mar-2009","14:19","SIGMA-T",306616,30,0.671373122033898,0.208871637966102,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5545,7.309,0.746,0.5435,0.216,NA
"17-Mar-2009","14:19","SIGMA-T",306615,40,0.494776125423729,0.217847017576271,NA,NA,NA,NA,NA,94.2804260109326,7.801,348.5,31.344,6.1895,6.609,0.687,0.5255,0.2025,NA
"17-Mar-2009","14:19","SIGMA-T",306614,50,0.425652990254237,0.244041047745763,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.122,6.216,0.728,0.658,0.232,NA
"17-Mar-2009","14:19","SIGMA-T",306613,80,0.360167914830509,0.197910450169491,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5895,8.499,0.798,0.806,0.172,NA
"17-Mar-2009","14:19","SIGMA-T",306612,100,0.0664771601694915,0.116556620830508,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.2995,10.2695,0.8985,0.8235,0.153,NA
"17-Mar-2009","14:19","SIGMA-T",306611,140,0.0299798957627119,0.0961442222372882,NA,NA,NA,NA,NA,65.8293257332031,4.5735,204,33.802,14.5935,13.915,1.0455,0.6125,0.147,NA
"27-Mar-2009","22:10","NEEDLER",326592,2,6.82627282706767,0.437818974796993,668.062122302256,71.4133593004699,398.142362638722,45.6967146158177,86,112.298626070425,9.066,405,31.739,2.9385,3.697,0.519,0.4695,0.183,NA
"27-Mar-2009","22:10","NEEDLER",326591,6,6.65561600639098,0.609208228180452,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1055,3.948,0.5405,0.5835,0.1935,NA
"27-Mar-2009","22:10","NEEDLER",326590,11,6.99692964774436,0.722083432620301,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0935,3.9155,0.547,0.494,0.194,NA
"27-Mar-2009","22:10","NEEDLER",326589,19,8.02087057180451,0.605773118785714,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.868,2.003,0.428,0.42,0.157,NA
"27-Mar-2009","22:10","NEEDLER",326588,30,10.5807228819549,1.90739393063534,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.161,2.1125,0.438,0.5365,0.1595,NA
"27-Mar-2009","22:10","NEEDLER",326587,40,6.82627282706767,0.892740253296992,NA,NA,NA,NA,NA,107.817702134252,8.677,387.5,31.846,3.843,10.729,0.5615,0.586,0.1685,NA
"27-Mar-2009","22:10","NEEDLER",326586,49,8.1915273924812,0.43342437855639,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.222,2.975,0.516,0.6045,0.18,NA
"27-Mar-2009","22:10","NEEDLER",326585,75,6.31430236503759,0.494868158327068,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.926,3.546,0.5655,0.5675,0.1745,NA
"27-Mar-2009","22:10","NEEDLER",326584,100,0.217637066165414,0.155698699567669,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.15,8.534,0.814,0.4475,0.1695,NA
"27-Mar-2009","22:10","NEEDLER",326583,159,0.12974517406015,0.143346412928571,NA,NA,NA,NA,NA,86.3941581413662,6.338,283,33.022,10.9395,11.039,0.9635,0.525,0.1995,NA
"10-Apr-2009","03:24","HUDSON",337811,2,8.36218421315789,1.40080318683647,486.33993436391,108.066813620266,321.563865025,52.1902718662604,100,107.445199634149,8.5845,383.5,31.207,1.93,2.759,0.761,0.593,0.2625,NA
"10-Apr-2009","03:24","HUDSON",337810,11,9.04481149586466,1.39872674011278,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.129,2.991,0.7845,0.647,0.249,NA
"10-Apr-2009","03:24","HUDSON",337809,20,8.61816944417293,1.03022885884775,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9855,3.011,0.9375,0.9965,0.2445,NA
"10-Apr-2009","03:24","HUDSON",337808,31,3.68225772030075,0.779130312180451,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2165,4.14,1.017,1.467,0.2585,NA
"10-Apr-2009","03:24","HUDSON",337807,40,3.80568535338346,0.820124531488721,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.0145,4.3155,1.0015,1.2095,0.241,NA
"10-Apr-2009","03:24","HUDSON",337806,51,4.94904779962406,0.840334693127819,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8585,3.794,1.0045,1.3315,0.2465,NA
