"sdate","stime","vessel","id","depth","Chl_a_Holm-Hansen_F","Phaeo_Holm-HansenF","Chl_int","Phaeo_int","Chl_int_50m","Phaeo_int_50m","doy","O2_Electrode","o2_ml","o2_um","Salinity_Sal_PSS","NO2NO3_Tech_F","SiO4_Tech_F","PO4_Tech_F","NH3_Tech_F","NO2_Tech_F"
"05-May-2009","14:13","CapNord",295430,1,2.05712721804511,0.350534477954887,210.017048793609,55.857600226641,174.178392443421,40.226624030329,125,106.315980373067,8.1975,366,27.525,10.475,15.793,0.718,0.6585,0.2365
"05-May-2009","14:13","CapNord",295429,5,4.60773415827068,0.839631557729322,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.097,14.399,0.667,0.715,0.2485
"05-May-2009","14:13","CapNord",295428,10,4.43707733759399,0.783314806906015,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.675,14.2,0.6335,0.855,0.2245
"05-May-2009","14:13","CapNord",295427,20,4.15832489699248,0.808860905007518,NA,NA,NA,NA,NA,102.30121124609,8.1885,365.5,28.368,9.19,12.927,0.686,0.951,0.2045
"05-May-2009","14:13","CapNord",295426,30,3.45597372631579,0.866873409684212,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.109,8.441,0.691,1.2685,0.203
"05-May-2009","14:13","CapNord",295425,40,3.08569082706767,0.963558388932331,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.574,10.3655,0.8055,1.381,0.223
"05-May-2009","14:13","CapNord",295424,50,1.39884650827068,0.625778099729323,NA,NA,NA,NA,NA,94.5911553924689,7.906,353,31.094,9.082,13.638,0.9465,0.906,0.27
"05-May-2009","14:13","CapNord",295423,60,1.72798686315789,0.406076912842105,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.201,14.5695,1.0465,1.365,0.2735
"05-May-2009","14:13","CapNord",295422,70,0.824884355300752,0.530352117849248,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.6405,15.9805,1.0665,1.0255,0.275
"05-May-2009","14:13","CapNord",295421,80,0.663142324849624,0.627559078150376,NA,NA,NA,NA,NA,73.7180800309802,6.032,269.5,32.245,13.206,21.327,1.376,1.4525,0.259
"20-May-2009","13:49","CapBreton",295440,1,2.22169739548872,0.569001388511278,276.43037197406,76.2027248534399,227.059318740977,48.1455667265226,140,107.811245248952,7.769,347,27.267,0.108,0.844,0.0895,0.739,0.106
"20-May-2009","13:49","CapBreton",295439,5,5.11970462030075,0.781608238699248,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.6,0.1205,0.559,0.0915
"20-May-2009","13:49","CapBreton",295438,10,3.7028289924812,0.729457311518797,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.044,0.791,0.1415,0.6605,0.0955
"20-May-2009","13:49","CapBreton",295437,20,13.4818888334586,2.40626117154135,NA,NA,NA,NA,NA,110.154957222988,8.4735,378.5,29.795,1.0875,0.8465,0.3695,0.9985,0.122
"20-May-2009","13:49","CapBreton",295436,30,1.23427633082707,0.407311189172932,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4405,4.854,0.535,1.2565,0.192
"20-May-2009","13:49","CapBreton",295435,40,1.8102719518797,0.542670160120301,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.588,3.619,0.5145,0.9665,0.1905
"20-May-2009","13:49","CapBreton",295434,50,0.863993431578947,0.777594088421052,NA,NA,NA,NA,NA,95.5810698995338,7.912,353.5,31.321,4.781,6.1315,0.677,0.9875,0.2275
"20-May-2009","13:49","CapBreton",295433,60,2.26283993984962,0.910895932150376,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.329,11.495,0.9335,0.817,0.278
"20-May-2009","13:49","CapBreton",295432,70,1.35770396390977,0.995238148090226,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.803,16.89,1.0705,0.8795,0.317
"20-May-2009","13:49","CapBreton",295431,80,1.7691294075188,1.0215693764812,NA,NA,NA,NA,NA,80.7424562186525,6.6115,295,32.21,10.211,16.4425,1.12,0.9005,0.323
"04-Jun-2009","13:17","CapBreton",295450,1,1.02856360902256,0.503584742977443,192.763225226128,49.4368764106222,35.4662012515038,19.2808962331212,155,106.427074928904,7.337,327.5,27.962,5.768,11.2435,0.426,0.737,0.252
"04-Jun-2009","13:17","CapBreton",295449,5,1.39884650827068,0.653137891729324,NA,NA,NA,NA,NA,NA,NA,NA,28.16,3.58,7.92,0.3645,0.765,0.229
"04-Jun-2009","13:17","CapBreton",295448,10,1.21370505864662,0.592041213353384,NA,NA,NA,NA,NA,NA,NA,NA,28.36,3.0175,6.579,0.348,0.768,0.1885
"04-Jun-2009","13:17","CapBreton",295447,20,0.363919568515038,0.238407752884962,NA,NA,NA,NA,NA,103.96906863829,7.946,355,29.919,2.833,3.9375,0.475,2.053,0.1755
"04-Jun-2009","13:17","CapBreton",295446,30,0.663142324849624,0.326395417450376,NA,NA,NA,NA,NA,NA,NA,NA,30.745,5.5755,9.8065,0.794,1.5455,0.275
"04-Jun-2009","13:17","CapBreton",295445,40,0.549922903533835,0.289033008416166,NA,NA,NA,NA,NA,NA,NA,NA,30.849,6.38,9.827,0.856,1.684,0.3265
"04-Jun-2009","13:17","CapBreton",295444,50,0.242613045676692,0.370470120748308,NA,NA,NA,NA,NA,94.7784096980097,7.729,345.5,31.193,5.0575,8.1065,0.8865,1.609,0.2465
"04-Jun-2009","13:17","CapBreton",295443,60,12.5432763197368,1.98303225626316,NA,NA,NA,NA,NA,NA,NA,NA,31.491,6.531,14.2745,1.148,0.8005,0.3035
"04-Jun-2009","13:17","CapBreton",295442,70,2.22169739548872,0.514281804511278,NA,NA,NA,NA,NA,NA,NA,NA,32.235,7.9475,16.1105,1.1015,0.9815,0.3255
"04-Jun-2009","13:17","CapBreton",295441,80,1.68684431879699,0.666097793203008,NA,NA,NA,NA,NA,72.5988033632163,5.9325,265,32.339,11.928,23.622,1.409,1.9945,0.3015
"08-Jul-2009","12:50","CapBreton",295460,1,0.617138165413534,0.285734970586466,29.1994482081767,30.5276787956983,26.2214562659774,19.7903136232726,189,101.083728995364,6.073,271.5,28.128,0,2.8395,0.074,0.703,0.0825
"08-Jul-2009","12:50","CapBreton",295459,5,1.00799233684211,0.496796223157895,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2.6415,0.1355,0.5815,0.0775
"08-Jul-2009","12:50","CapBreton",295458,10,1.29599014736842,0.701274668631579,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2.8325,0.1495,0.9635,0.0905
"08-Jul-2009","12:50","CapBreton",295457,20,0.460964786785714,0.399502815214286,NA,NA,NA,NA,NA,90.5755887651899,6.957,310.5,30.085,5.719,9.347,0.8485,4.5185,0.468
"08-Jul-2009","12:50","CapBreton",295456,30,0.355832466992481,0.343297459632519,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2295,9.6625,0.982,3.712,0.496
"08-Jul-2009","12:50","CapBreton",295455,40,0.161135135526316,0.234085405973684,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.843,10.12,1.042,3.313,0.464
"08-Jul-2009","12:50","CapBreton",295454,50,0.0669652511278196,0.33382177687218,NA,NA,NA,NA,NA,88.6902254551458,7.3135,326.5,31.394,7.886,9.603,1.6205,4.018,0.377
"08-Jul-2009","12:50","CapBreton",295453,60,0.0795212357142858,0.282300386785714,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.687,17.315,1.3425,3.3235,0.3335
"08-Jul-2009","12:50","CapBreton",295452,70,0.0837065639097745,0.311513977590226,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.1015,26.979,1.6225,3.493,0.301
"08-Jul-2009","12:50","CapBreton",295451,80,0.20217753806391,0.62602252886109,NA,NA,NA,NA,NA,61.2154014215355,4.947,221,32.551,15.6245,28.9155,1.701,3.4595,0.312
"17-Sep-2009","06:57","Teleost",336479,1,1.06922386101695,0.720607150983051,30.3619281076271,18.7201503743729,28.9121535165254,15.8183651079746,260,100.27244167561,6.157,275,28.3874263763428,0.351,2.2845,0.258,0.604,0.104
"17-Sep-2009","06:57","Teleost",336478,5,1.20598505254237,0.598516705457627,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.329,2.209,0.25,0.6285,0.0975
"17-Sep-2009","06:57","Teleost",336477,10,1.30544773728814,0.469712528711865,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3235,2.208,0.277,0.8815,0.111
"17-Sep-2009","06:57","Teleost",336476,20,0.596776108474576,0.635566555525424,NA,NA,NA,NA,NA,97.9160504083845,6.11,273,29.0518188476562,0.177,1.4755,0.2545,0.873,0.0885
"17-Sep-2009","06:57","Teleost",336475,30,0.200093286016949,0.224904853483051,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.262,3.829,0.637,3.0895,0.276
"17-Sep-2009","06:57","Teleost",336474,40,0.0677806338983051,0.121405543101695,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.4415,12.242,1.0585,1.4535,0.2595
"17-Sep-2009","06:57","Teleost",336473,50,0.056049370338983,0.100836727661017,NA,NA,NA,NA,NA,76.6959808209481,5.9835,267.5,31.7204456329346,11.7065,15.0765,1.185,0.607,0.236
"17-Sep-2009","06:57","Teleost",336472,60,0.0404076855932203,0.0703354424067797,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.8335,16.964,1.25,0.628,0.1995
"17-Sep-2009","06:57","Teleost",336471,70,0.0456215805084746,0.0651215474915254,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.7395,21.0115,1.429,1.2365,0.212
"17-Sep-2009","06:57","Teleost",336470,80,0.0618470156779661,0.208606345822034,NA,NA,NA,NA,NA,60.3697624567111,4.8765,217.5,32.3912544250488,15.572,26.211,1.584,2.075,0.205
"22-Oct-2009","12:50","CapBreton",295470,1,1.17256251428571,0.687903341714286,26.9354735977444,28.1043162442556,24.1836203092105,22.2002830252895,295,94.349552167744,6.36,284,29.997,0.3265,1.951,0.309,0.862,0.1415
"22-Oct-2009","12:50","CapBreton",295469,5,1.17256251428571,0.715263133714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3035,1.9335,0.334,0.894,0.136
"22-Oct-2009","12:50","CapBreton",295468,10,1.13141996992481,0.756405678075188,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2705,1.718,0.296,0.806,0.128
"22-Oct-2009","12:50","CapBreton",295467,20,0.363919568515038,0.464280498409962,NA,NA,NA,NA,NA,95.5224040475296,6.53,291.5,30.025,1.0375,2.006,0.508,0.8895,0.1915
"22-Oct-2009","12:50","CapBreton",295466,30,0.113003861278196,0.201502625971805,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8845,6.1195,0.8855,0.7385,0.261
"22-Oct-2009","12:50","CapBreton",295465,40,0.14857915093985,0.33848841781015,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5385,6.7205,0.931,1.195,0.2655
"22-Oct-2009","12:50","CapBreton",295464,50,0.12974517406015,0.24042617818985,NA,NA,NA,NA,NA,83.6449184681233,6.16,275.5,31.286,4.206,5.014,0.901,0.8705,0.2735
"22-Oct-2009","12:50","CapBreton",295463,60,0.0920772203007519,0.194596834449248,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2405,9.0115,1.147,1.227,0.255
"22-Oct-2009","12:50","CapBreton",295462,70,0.0899845562030075,0.193906255296993,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.032,7.7395,1.1265,1.1615,0.254
"22-Oct-2009","12:50","CapBreton",295461,80,0.0565019306390978,0.163374286110902,NA,NA,NA,NA,NA,70.0818895604528,5.5865,249.5,31.902,12.128,16.3915,1.7,0.788,0.18
"24-Nov-2009","13:45","CapBreton",295480,1,0.98662638575188,0.51919191774812,38.6365289760056,27.5470187107819,31.6084363009117,19.8744159112508,328,90.4779965882642,6.7995,303.5,29.696,5.433,7.4965,0.631,0.765,0.236
"24-Nov-2009","13:45","CapBreton",295479,5,1.01088769031955,0.516442303230451,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.215,7.4865,0.65,0.909,0.2455
"24-Nov-2009","13:45","CapBreton",295478,10,1.05132319793233,0.529786020742669,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.41,7.2705,0.655,1.145,0.25
"24-Nov-2009","13:45","CapBreton",295477,20,0.646968121804511,0.417860535670489,NA,NA,NA,NA,NA,89.4516487295831,6.6995,299.5,29.81,4.968,7.1535,0.639,0.85,0.2305
"24-Nov-2009","13:45","CapBreton",295476,30,0.452877685263158,0.321543156536842,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2235,6.545,0.58,0.835,0.238
"24-Nov-2009","13:45","CapBreton",295475,40,0.331571162424812,0.270756158975188,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.339,6.1505,0.5165,0.8725,0.248
"24-Nov-2009","13:45","CapBreton",295474,50,0.38009377156015,0.38357122521485,NA,NA,NA,NA,NA,87.3242865716342,6.361,284.5,30.34,3.2885,5.4355,0.5385,0.8725,0.2585
"24-Nov-2009","13:45","CapBreton",295473,60,0.266874350244361,0.249406210955639,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.962,4.5385,0.5735,1.2105,0.283
"24-Nov-2009","13:45","CapBreton",295472,70,0.156949807330827,0.207655058419173,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9935,6.2425,0.6515,0.8815,0.25
"24-Nov-2009","13:45","CapBreton",295471,80,0.177876448308271,0.236826795941729,NA,NA,NA,NA,NA,71.424007666395,5.3995,241,31.593,8.968,16.2385,1.115,0.7465,0.2285
