"sdate","stime","vessel","id","depth","Chl_a_Holm-Hansen_F","Phaeo_Holm-HansenF","Chl_int_140m","Phaeo_int_140m","Chl_int_50m","Phaeo_int_50m","gmt_doy","O2_Electrode","o2_ml","o2_um","Salinity_Sal_PSS","NO2NO3_Tech_F","SiO4_Tech_F","PO4_Tech_F","NH3_Tech_F","NO2_Tech_F"
"17-Jan-2011","14:10","SIGMA-T","306730",1,0.461505658536585,0.181833229463415,45.4381558327526,24.2189210662474,20.2815254581882,8.56465497581185,17,90.1354107331432,6.8125,304.5,30.801,4.571,6.2135,0.854,0.7595,0.326
"17-Jan-2011","14:10","SIGMA-T","306729",5,0.44502331358885,0.19358514141115,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.619,6.176,0.858,0.849,0.326
"17-Jan-2011","14:10","SIGMA-T","306728",10,0.453264486062718,0.166422236937282,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6525,6.853,0.862,0.921,0.3295
"17-Jan-2011","14:10","SIGMA-T","306727",20,0.428540968641115,0.181684888358885,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.632,6.1835,0.855,0.8455,0.3335
"17-Jan-2011","14:10","SIGMA-T","306726",30,0.366732175087108,0.167806753912892,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.738,6.211,0.852,0.9385,0.324
"17-Jan-2011","14:10","SIGMA-T","306725",40,0.374973347560976,0.154835148439024,NA,NA,NA,NA,NA,90.1589310077737,6.814,304.5,30.853,4.737,6.2385,0.855,0.719,0.328
"17-Jan-2011","14:10","SIGMA-T","306724",50,0.35849100261324,0.17131749338676,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8335,7.9315,0.848,0.67,0.325
"17-Jan-2011","14:10","SIGMA-T","306723",75,0.23899400174216,0.12997977225784,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7235,5.967,0.8445,0.6085,0.32
"17-Jan-2011","14:10","SIGMA-T","306722",100,0.399696864982578,0.196337693017422,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7125,6.1525,0.8765,0.8965,0.3365
"17-Jan-2011","14:10","SIGMA-T","306721",140,0.0855247343205575,0.194116404679442,NA,NA,NA,NA,NA,70.6016975355547,4.965,221.5,33.13,12.0375,12.341,1.2645,0.8475,0.139
