"sdate","stime","vessel","id","depth","Chl_a_Holm-Hansen_F","Phaeo_Holm-HansenF","Chl_int","Phaeo_int","Chl_int_50m","Phaeo_int_50m","j_day","O2_Electrode","o2_ml","o2_um","NO3_Tech_F","SiO4_Tech_F","PO4_Tech_F","NH3_Tech_F","NO2_Tech_F","Salinity_Sal_PSS"
"17-Jan-2011","13:11","Viola M Davidson",240880,1,0.255071641791045,0.330864358208955,23.3937134328358,18.7204365671642,12.5303944029851,9.80841559701493,17,92.5852320015763,6.587,294,9.1935,9.9865,0.9275,0.6725,0.184,NA
"17-Jan-2011","13:11","Viola M Davidson",240879,10,0.245961940298507,0.156869059701492,NA,NA,NA,NA,NA,NA,NA,NA,9.0415,9.789,0.927,0.51,0.1245,NA
"17-Jan-2011","13:11","Viola M Davidson",240878,25,0.255071641791045,0.184380358208955,NA,NA,NA,NA,NA,NA,NA,NA,9.09,9.859,0.8885,0.6745,0.1555,NA
"17-Jan-2011","13:11","Viola M Davidson",240877,50,0.245961940298507,0.193490059701493,NA,NA,NA,NA,NA,NA,NA,NA,9.085,9.8425,0.904,0.24,0.155,NA
"17-Jan-2011","13:11","Viola M Davidson",240876,95,0.23685223880597,0.20259976119403,NA,NA,NA,NA,NA,NA,NA,NA,8.688,8.9775,0.865,0.839,0.134,NA
"16-Feb-2011","14:09","Viola M Davidson",240885,1,0.282400746268657,0.193672253731343,28.4587074626866,19.1302820373134,14.9308007462687,9.86161625373134,47,90.0983732799739,6.758,302,8.3375,9.3265,0.873,0.2785,0.138,NA
"16-Feb-2011","14:09","Viola M Davidson",240884,10,0.300620149253731,0.212073850746269,NA,NA,NA,NA,NA,NA,NA,NA,7.0115,7.656,0.791,0.231,0.126,NA
"16-Feb-2011","14:09","Viola M Davidson",240883,25,0.300620149253731,0.187659850746269,NA,NA,NA,NA,NA,NA,NA,NA,8.4605,9.2655,0.8845,0.413,0.142,NA
"16-Feb-2011","14:09","Viola M Davidson",240882,50,0.300620149253731,0.199866850746268,NA,NA,NA,NA,NA,NA,NA,NA,8.2925,9.166,0.891,0.4385,0.14,NA
"16-Feb-2011","14:09","Viola M Davidson",240881,95,0.300620149253731,0.212073850746269,NA,NA,NA,NA,NA,NA,NA,NA,8.337,9.1805,0.91,0.1655,0.1555,NA
"14-Mar-2011","12:20","Viola M Davidson",240890,1,0.400826865671642,0.221730134328358,34.8446082089552,21.2221427910448,18.8570820895522,10.8425489104478,73,96.7088333152175,7.495,335,8.41,10.1975,0.902,0.7095,0.175,NA
"14-Mar-2011","12:20","Viola M Davidson",240889,10,0.400826865671642,0.209523134328358,NA,NA,NA,NA,NA,NA,NA,NA,8.329,10.289,0.8955,0.569,0.163,NA
"14-Mar-2011","12:20","Viola M Davidson",240888,25,0.364388059701493,0.209340940298507,NA,NA,NA,NA,NA,NA,NA,NA,8.2915,10.177,0.8595,0.5125,0.1595,NA
"14-Mar-2011","12:20","Viola M Davidson",240887,50,0.364388059701493,0.233754940298507,NA,NA,NA,NA,NA,NA,NA,NA,8.2305,9.795,0.8965,0.4515,0.153,NA
"14-Mar-2011","12:20","Viola M Davidson",240886,95,0.346168656716418,0.227560343283582,NA,NA,NA,NA,NA,NA,NA,NA,8.212,9.5395,0.8685,0.4585,0.146,NA
"15-Apr-2011","12:03","Fundy Spray",240895,1,0.461505658536585,0.175525985463415,32.3987960522648,16.7504028177352,18.0591559477352,8.38396452226481,105,98.4226754365097,7.298,326,21.4785,7.288,0.863,0.7065,0.253,NA
