"sdate","stime","vessel","id","depth","Chl_a_Holm-Hansen_F","Phaeo_Holm-HansenF","Chl_int","Phaeo_int_50m","Chl_int_50m","Phaeo_int","j_day","O2_Electrode","o2_ml","o2_um","NO3_Tech_F","SiO4_Tech_F","PO4_Tech_F","NH3_Tech_F","NO2_Tech_F","Salinity_Sal_PSS"
"16-Jan-2012","14:26","Viola M Davidson",22183,1,0.294572899511798,0.205636618988202,24.1553593862897,21.6112275882103,12.9342238014646,9.5254599380354,16,NA,NA,NA,11.406,9.927,0.9925,NA,0.171,32.0512
"16-Jan-2012","14:26","Viola M Davidson",22182,10,0.274335066720911,0.201002155279089,NA,NA,NA,NA,NA,NA,NA,NA,10.3685,9.9,0.973,NA,0.1645,NA
"16-Jan-2012","14:26","Viola M Davidson",22181,25,0.256345882017901,0.183064689482099,NA,NA,NA,NA,NA,NA,NA,NA,10.2395,9.6545,0.951,NA,0.161,NA
"16-Jan-2012","14:26","Viola M Davidson",22180,50,0.231610753051261,0.185691110448739,NA,NA,NA,NA,NA,NA,NA,NA,10.4585,9.7525,0.9215,NA,0.1495,NA
"16-Jan-2012","14:26","Viola M Davidson",22179,95,0.267106384052075,0.351454118447925,NA,NA,NA,NA,NA,NA,NA,NA,11.0435,9.4685,0.8515,NA,0.126,32.6844
"13-Feb-2012","14:11","Viola M Davidson",22188,1,0.404756655817738,0.252977407182262,26.0050529742677,19.3081258659823,14.9501368122457,10.6517470517543,44,NA,NA,NA,10.491,9.8215,1.0065,NA,0.1845,32.1883
"13-Feb-2012","14:11","Viola M Davidson",22187,10,0.344043157445077,0.250128370054923,NA,NA,NA,NA,NA,NA,NA,NA,10.6525,10.1885,0.983,NA,0.1605,NA
"13-Feb-2012","14:11","Viola M Davidson",22186,25,0.276583714808788,0.193226330191212,NA,NA,NA,NA,NA,NA,NA,NA,10.354,9.687,0.9625,NA,0.181,NA
"13-Feb-2012","14:11","Viola M Davidson",22185,50,0.245102641578519,0.191544341421481,NA,NA,NA,NA,NA,NA,NA,NA,10.7435,9.7915,0.9925,NA,0.1575,NA
"13-Feb-2012","14:11","Viola M Davidson",22184,95,0.246226965622457,0.193183605877543,NA,NA,NA,NA,NA,NA,NA,NA,10.8315,9.655,0.967,NA,0.1645,32.4466
