"sdate","stime","vessel","id","depth","Chl_a_Holm-Hansen_F","Phaeo_Holm-HansenF","Chl_int_140m","Phaeo_int_140m","Chl_int_50m","Phaeo_int_50m","gmt_doy","O2_Electrode","o2_ml","o2_um","O2_Winkler","Salinity_Sal_PSS","NO2NO3_Tech_F","SiO4_Tech_F","PO4_Tech_F","NH3_Tech_F","NO2_Tech_F"
"09-Jan-2013","14:20","SIGMA-T","306900",1,0.536374662327095,0.251008442672905,34.3700691273393,27.5904497089107,23.2982881046583,12.2146887865917,9,97.0554258102611,7.2545,324,NA,"30.916",3.8275,4.0485,0.654,0.2895,0.414
"09-Jan-2013","14:20","SIGMA-T","306899",5,0.879058474369406,0.311171800630594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8245,4.073,0.6465,0.304,0.4195
"09-Jan-2013","14:20","SIGMA-T","306898",10,0.435113405004068,0.228147834995932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9045,4.034,0.6485,0.329,0.442
"09-Jan-2013","14:20","SIGMA-T","306897",20,0.4890809591131,0.2446517876369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6365,3.855,0.6365,0.666,0.423
"09-Jan-2013","14:20","SIGMA-T","306896",30,0.377772878763222,0.231598385486778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.397,3.525,0.606,0.552,0.401
"09-Jan-2013","14:20","SIGMA-T","306895",40,0.374399906631408,0.218389826618592,NA,NA,NA,NA,NA,97.35,9.467,327,NA,"30.904",3.4465,3.671,0.61,0.4595,0.4045
"09-Jan-2013","14:20","SIGMA-T","306894",50,0.411502600081367,0.280776319168633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9725,4.1175,0.666,0.579,0.4675
"09-Jan-2013","14:20","SIGMA-T","306893",75,0.107935108218063,0.165660153281937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.0245,8.098,0.896,0.376,0.246
"09-Jan-2013","14:20","SIGMA-T","306892",100,0.0640864705044752,0.155618815245525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.568,9.86,0.9765,0.6385,0.2465
"09-Jan-2013","14:20","SIGMA-T","306891",140,0.0573405262408462,0.133347080259154,NA,NA,NA,NA,NA,81.4841373810312,5.7735,257.5,NA,"32.152000000000001",10.4105,12.105,1.1155,0.6505,0.2555
