"mission","BiolSum","qatFile","odf","path","path_odf","mission_protocol","responsible_group","header_collector","Biolpath","Biolsumedit","newqatpath","newqat"
"BCD1999666","BCD1999666_biolsums_JB.xlsx","BCD1999666_QAT_BC.csv","BCD1999666_ctd_metadata.xlsx","//ent.dfo-mpo.ca/ATLShares/Science/BIODataSvc/SRC/BIOCHEMInventory/Data_by_Year_and_Cruise/1990-1999/1999/99666/1_REBOOT","C:/Users/steeler/Documents/Reid/BCD Creation/Fixed Station Biochem Reload/convertingtoBCDBCS/ODF files","AZMP","AZMP","?","C:/Users/steeler/Documents/Reid/BCD Creation/Fixed Station Biochem Reload/convertingtoBCDBCS/corrected biolsums","BCD1999666_biolsums_JB_edited.csv","C:/Users/steeler/Documents/Reid/BCD Creation/Fixed Station Biochem Reload/checkingnewqats/NEWQATS_RS","BCD1999666_QAT2020.csv"
"BCD1999668","BCD1999668_biolsums_JB.xlsx","BCD1999668_QAT_BC.csv","BCD1999668_ctd_metadata.xlsx","//ent.dfo-mpo.ca/ATLShares/Science/BIODataSvc/SRC/BIOCHEMInventory/Data_by_Year_and_Cruise/1990-1999/1999/99668_VOO/1_REBOOT","C:/Users/steeler/Documents/Reid/BCD Creation/Fixed Station Biochem Reload/convertingtoBCDBCS/ODF files","AZMP","AZMP","?","C:/Users/steeler/Documents/Reid/BCD Creation/Fixed Station Biochem Reload/convertingtoBCDBCS/corrected biolsums","BCD1999668_biolsums_JB_edited.csv","C:/Users/steeler/Documents/Reid/BCD Creation/Fixed Station Biochem Reload/checkingnewqats/NEWQATS_RS","BCD1999668_QAT2020.csv"
"BCD1999669","BCD1999669_biolsums_JB.xlsx","BCD1999669_QAT_BC.csv","BCD1999669_ctd_metadata.xlsx","//ent.dfo-mpo.ca/ATLShares/Science/BIODataSvc/SRC/BIOCHEMInventory/Data_by_Year_and_Cruise/1990-1999/1999/99669_VOO/1_REBOOT","C:/Users/steeler/Documents/Reid/BCD Creation/Fixed Station Biochem Reload/convertingtoBCDBCS/ODF files","AZMP","AZMP","?","C:/Users/steeler/Documents/Reid/BCD Creation/Fixed Station Biochem Reload/convertingtoBCDBCS/corrected biolsums","BCD1999669_biolsums_JB_edited.csv","C:/Users/steeler/Documents/Reid/BCD Creation/Fixed Station Biochem Reload/checkingnewqats/NEWQATS_RS","BCD1999669_QAT2020.csv"
"BCD2000666","BCD2000666_biolsums_JB.xlsx","BCD2000666_QAT_BC.csv","BCD2000666_ctd_metadata.xlsx","//ent.dfo-mpo.ca/ATLShares/Science/BIODataSvc/SRC/BIOCHEMInventory/Data_by_Year_and_Cruise/2000-2009/2000/BCD2000666/1_REBOOT","C:/Users/steeler/Documents/Reid/BCD Creation/Fixed Station Biochem Reload/convertingtoBCDBCS/ODF files","AZMP","AZMP","?","C:/Users/steeler/Documents/Reid/BCD Creation/Fixed Station Biochem Reload/convertingtoBCDBCS/corrected biolsums","BCD2000666_biolsums_JB_edited.csv","C:/Users/steeler/Documents/Reid/BCD Creation/Fixed Station Biochem Reload/checkingnewqats/NEWQATS_RS","BCD2000666_QAT2020.csv"
"BCD2000668","BCD2000668_biolsums_JB.xlsx","BCD2000668_QAT_BC.csv","BCD2000668_ctd_metadata.xlsx","//ent.dfo-mpo.ca/ATLShares/Science/BIODataSvc/SRC/BIOCHEMInventory/Data_by_Year_and_Cruise/2000-2009/2000/BCD2000668/1_REBOOT","C:/Users/steeler/Documents/Reid/BCD Creation/Fixed Station Biochem Reload/convertingtoBCDBCS/ODF files","AZMP","AZMP","?","C:/Users/steeler/Documents/Reid/BCD Creation/Fixed Station Biochem Reload/convertingtoBCDBCS/corrected biolsums","BCD2000668_biolsums_JB_edited.csv","C:/Users/steeler/Documents/Reid/BCD Creation/Fixed Station Biochem Reload/checkingnewqats/NEWQATS_RS","BCD2000668_QAT2020.csv"
"BCD2000669","BCD2000669_biolsums_JB.xlsx","BCD2000669_QAT_BC.csv","BCD2000669_ctd_metadata.xlsx","//ent.dfo-mpo.ca/ATLShares/Science/BIODataSvc/SRC/BIOCHEMInventory/Data_by_Year_and_Cruise/2000-2009/2000/BCD2000669/1_REBOOT","C:/Users/steeler/Documents/Reid/BCD Creation/Fixed Station Biochem Reload/convertingtoBCDBCS/ODF files","AZMP","AZMP","?","C:/Users/steeler/Documents/Reid/BCD Creation/Fixed Station Biochem Reload/convertingtoBCDBCS/corrected biolsums","BCD2000669_biolsums_JB_edited.csv","C:/Users/steeler/Documents/Reid/BCD Creation/Fixed Station Biochem Reload/checkingnewqats/NEWQATS_RS","BCD2000669_QAT2020.csv"
"BCD2001666","BCD2001666_BiolSum.xls","BCD2001666_QAT_BC.csv","BCD2001666_ctd_metadata.xlsx","//ent.dfo-mpo.ca/ATLShares/Science/BIODataSvc/SRC/BIOCHEMInventory/Data_by_Year_and_Cruise/2000-2009/2001/BCD2001666/1_REBOOT","C:/Users/steeler/Documents/Reid/BCD Creation/Fixed Station Biochem Reload/convertingtoBCDBCS/ODF files","AZMP","AZMP","?","C:/Users/steeler/Documents/Reid/BCD Creation/Fixed Station Biochem Reload/convertingtoBCDBCS/corrected biolsums","BCD2001666_BiolSum_edited.csv","C:/Users/steeler/Documents/Reid/BCD Creation/Fixed Station Biochem Reload/checkingnewqats/NEWQATS_RS","BCD2001666_QAT2020.csv"
"BCD2001668","BCD2001668_biolsums_JB.xlsx","BCD2001668_QAT_BC.csv","BCD2001668_ctd_metadata.xlsx","//ent.dfo-mpo.ca/ATLShares/Science/BIODataSvc/SRC/BIOCHEMInventory/Data_by_Year_and_Cruise/2000-2009/2001/BCD2001668/1_REBOOT","C:/Users/steeler/Documents/Reid/BCD Creation/Fixed Station Biochem Reload/convertingtoBCDBCS/ODF files","AZMP","AZMP","?","C:/Users/steeler/Documents/Reid/BCD Creation/Fixed Station Biochem Reload/convertingtoBCDBCS/corrected biolsums","BCD2001668_biolsums_JB_edited.csv","C:/Users/steeler/Documents/Reid/BCD Creation/Fixed Station Biochem Reload/checkingnewqats/NEWQATS_RS","BCD2001668_QAT2020.csv"
"BCD2001669","BCD2001669_BiolSum.xls","BCD2001669_QAT_BC.csv","BCD2001669_ctd_metadata.xlsx","//ent.dfo-mpo.ca/ATLShares/Science/BIODataSvc/SRC/BIOCHEMInventory/Data_by_Year_and_Cruise/2000-2009/2001/BCD2001669/1_REBOOT","C:/Users/steeler/Documents/Reid/BCD Creation/Fixed Station Biochem Reload/convertingtoBCDBCS/ODF files","AZMP","AZMP","?","C:/Users/steeler/Documents/Reid/BCD Creation/Fixed Station Biochem Reload/convertingtoBCDBCS/corrected biolsums","BCD2001669_BiolSum_edited.csv","C:/Users/steeler/Documents/Reid/BCD Creation/Fixed Station Biochem Reload/checkingnewqats/NEWQATS_RS","BCD2001669_QAT2020.csv"
"BCD2002666","BCD2002666_BiolSum.xls","BCD2002666_QAT_BC.csv","BCD2002666_ctd_metadata.xlsx","//ent.dfo-mpo.ca/ATLShares/Science/BIODataSvc/SRC/BIOCHEMInventory/Data_by_Year_and_Cruise/2000-2009/2002/BCD2002666/1_REBOOT","C:/Users/steeler/Documents/Reid/BCD Creation/Fixed Station Biochem Reload/convertingtoBCDBCS/ODF files","AZMP","AZMP","?","C:/Users/steeler/Documents/Reid/BCD Creation/Fixed Station Biochem Reload/convertingtoBCDBCS/corrected biolsums","BCD2002666_BiolSum_edited.csv","C:/Users/steeler/Documents/Reid/BCD Creation/Fixed Station Biochem Reload/checkingnewqats/NEWQATS_RS","BCD2002666_QAT2020.csv"
